#           k/h    P           
    0.10000E-03    0.43263E+03
    0.10202E-03    0.44112E+03
    0.10408E-03    0.44978E+03
    0.10618E-03    0.45860E+03
    0.10833E-03    0.46760E+03
    0.11052E-03    0.47677E+03
    0.11275E-03    0.48612E+03
    0.11503E-03    0.49566E+03
    0.11735E-03    0.50539E+03
    0.11972E-03    0.51530E+03
    0.12214E-03    0.52541E+03
    0.12461E-03    0.53572E+03
    0.12712E-03    0.54622E+03
    0.12969E-03    0.55694E+03
    0.13231E-03    0.56786E+03
    0.13499E-03    0.57900E+03
    0.13771E-03    0.59036E+03
    0.14049E-03    0.60194E+03
    0.14333E-03    0.61374E+03
    0.14623E-03    0.62578E+03
    0.14918E-03    0.63805E+03
    0.15220E-03    0.65056E+03
    0.15527E-03    0.66332E+03
    0.15841E-03    0.67632E+03
    0.16161E-03    0.68958E+03
    0.16487E-03    0.70310E+03
    0.16820E-03    0.71689E+03
    0.17160E-03    0.73094E+03
    0.17507E-03    0.74527E+03
    0.17860E-03    0.75988E+03
    0.18221E-03    0.77477E+03
    0.18589E-03    0.78996E+03
    0.18965E-03    0.80544E+03
    0.19348E-03    0.82123E+03
    0.19739E-03    0.83732E+03
    0.20138E-03    0.85373E+03
    0.20544E-03    0.87045E+03
    0.20959E-03    0.88751E+03
    0.21383E-03    0.90489E+03
    0.21815E-03    0.92262E+03
    0.22255E-03    0.94069E+03
    0.22705E-03    0.95911E+03
    0.23164E-03    0.97790E+03
    0.23632E-03    0.99705E+03
    0.24109E-03    0.10166E+04
    0.24596E-03    0.10365E+04
    0.25093E-03    0.10568E+04
    0.25600E-03    0.10774E+04
    0.26117E-03    0.10985E+04
    0.26645E-03    0.11200E+04
    0.27183E-03    0.11419E+04
    0.27732E-03    0.11643E+04
    0.28292E-03    0.11871E+04
    0.28864E-03    0.12103E+04
    0.29447E-03    0.12339E+04
    0.30042E-03    0.12581E+04
    0.30649E-03    0.12827E+04
    0.31268E-03    0.13077E+04
    0.31899E-03    0.13333E+04
    0.32544E-03    0.13593E+04
    0.33201E-03    0.13859E+04
    0.33872E-03    0.14130E+04
    0.34556E-03    0.14406E+04
    0.35254E-03    0.14687E+04
    0.35966E-03    0.14974E+04
    0.36693E-03    0.15266E+04
    0.37434E-03    0.15564E+04
    0.38190E-03    0.15867E+04
    0.38962E-03    0.16177E+04
    0.39749E-03    0.16492E+04
    0.40552E-03    0.16814E+04
    0.41371E-03    0.17141E+04
    0.42207E-03    0.17475E+04
    0.43060E-03    0.17816E+04
    0.43929E-03    0.18163E+04
    0.44817E-03    0.18516E+04
    0.45722E-03    0.18876E+04
    0.46646E-03    0.19244E+04
    0.47588E-03    0.19618E+04
    0.48550E-03    0.19999E+04
    0.49530E-03    0.20388E+04
    0.50531E-03    0.20784E+04
    0.51552E-03    0.21187E+04
    0.52593E-03    0.21598E+04
    0.53656E-03    0.22017E+04
    0.54739E-03    0.22444E+04
    0.55845E-03    0.22879E+04
    0.56973E-03    0.23323E+04
    0.58124E-03    0.23774E+04
    0.59299E-03    0.24235E+04
    0.60496E-03    0.24703E+04
    0.61719E-03    0.25181E+04
    0.62965E-03    0.25668E+04
    0.64237E-03    0.26163E+04
    0.65535E-03    0.26668E+04
    0.66859E-03    0.27183E+04
    0.68210E-03    0.27707E+04
    0.69588E-03    0.28241E+04
    0.70993E-03    0.28784E+04
    0.72427E-03    0.29338E+04
    0.73891E-03    0.29902E+04
    0.75383E-03    0.30477E+04
    0.76906E-03    0.31062E+04
    0.78460E-03    0.31658E+04
    0.80045E-03    0.32265E+04
    0.81662E-03    0.32883E+04
    0.83311E-03    0.33512E+04
    0.84994E-03    0.34153E+04
    0.86711E-03    0.34805E+04
    0.88463E-03    0.35469E+04
    0.90250E-03    0.36145E+04
    0.92073E-03    0.36834E+04
    0.93933E-03    0.37535E+04
    0.95831E-03    0.38248E+04
    0.97767E-03    0.38974E+04
    0.99742E-03    0.39713E+04
    0.10176E-02    0.40466E+04
    0.10381E-02    0.41231E+04
    0.10591E-02    0.42010E+04
    0.10805E-02    0.42803E+04
    0.11023E-02    0.43610E+04
    0.11246E-02    0.44431E+04
    0.11473E-02    0.45266E+04
    0.11705E-02    0.46115E+04
    0.11941E-02    0.46979E+04
    0.12182E-02    0.47858E+04
    0.12429E-02    0.48752E+04
    0.12680E-02    0.49661E+04
    0.12936E-02    0.50586E+04
    0.13197E-02    0.51526E+04
    0.13464E-02    0.52482E+04
    0.13736E-02    0.53454E+04
    0.14013E-02    0.54442E+04
    0.14296E-02    0.55446E+04
    0.14585E-02    0.56467E+04
    0.14880E-02    0.57504E+04
    0.15180E-02    0.58558E+04
    0.15487E-02    0.59628E+04
    0.15800E-02    0.60716E+04
    0.16119E-02    0.61821E+04
    0.16445E-02    0.62944E+04
    0.16777E-02    0.64084E+04
    0.17116E-02    0.65242E+04
    0.17462E-02    0.66417E+04
    0.17814E-02    0.67610E+04
    0.18174E-02    0.68821E+04
    0.18541E-02    0.70050E+04
    0.18916E-02    0.71297E+04
    0.19298E-02    0.72562E+04
    0.19688E-02    0.73846E+04
    0.20086E-02    0.75148E+04
    0.20491E-02    0.76468E+04
    0.20905E-02    0.77807E+04
    0.21328E-02    0.79164E+04
    0.21758E-02    0.80539E+04
    0.22198E-02    0.81933E+04
    0.22646E-02    0.83346E+04
    0.23104E-02    0.84776E+04
    0.23571E-02    0.86226E+04
    0.24047E-02    0.87693E+04
    0.24533E-02    0.89179E+04
    0.25028E-02    0.90682E+04
    0.25534E-02    0.92204E+04
    0.26050E-02    0.93744E+04
    0.26576E-02    0.95302E+04
    0.27113E-02    0.96877E+04
    0.27660E-02    0.98469E+04
    0.28219E-02    0.10008E+05
    0.28789E-02    0.10171E+05
    0.29371E-02    0.10335E+05
    0.29964E-02    0.10501E+05
    0.30569E-02    0.10669E+05
    0.31187E-02    0.10838E+05
    0.31817E-02    0.11008E+05
    0.32460E-02    0.11181E+05
    0.33115E-02    0.11355E+05
    0.33784E-02    0.11530E+05
    0.34467E-02    0.11706E+05
    0.35163E-02    0.11884E+05
    0.35874E-02    0.12064E+05
    0.36598E-02    0.12244E+05
    0.37338E-02    0.12426E+05
    0.38092E-02    0.12609E+05
    0.38861E-02    0.12793E+05
    0.39646E-02    0.12978E+05
    0.40447E-02    0.13164E+05
    0.41264E-02    0.13351E+05
    0.42098E-02    0.13539E+05
    0.42948E-02    0.13727E+05
    0.43816E-02    0.13917E+05
    0.44701E-02    0.14107E+05
    0.45604E-02    0.14297E+05
    0.46525E-02    0.14488E+05
    0.47465E-02    0.14679E+05
    0.48424E-02    0.14871E+05
    0.49402E-02    0.15063E+05
    0.50400E-02    0.15255E+05
    0.51419E-02    0.15447E+05
    0.52457E-02    0.15639E+05
    0.53517E-02    0.15831E+05
    0.54598E-02    0.16022E+05
    0.55701E-02    0.16213E+05
    0.56826E-02    0.16404E+05
    0.57974E-02    0.16594E+05
    0.59145E-02    0.16784E+05
    0.60340E-02    0.16972E+05
    0.61559E-02    0.17160E+05
    0.62803E-02    0.17346E+05
    0.64072E-02    0.17532E+05
    0.65366E-02    0.17716E+05
    0.66686E-02    0.17899E+05
    0.68033E-02    0.18080E+05
    0.69408E-02    0.18259E+05
    0.70810E-02    0.18436E+05
    0.72240E-02    0.18612E+05
    0.73700E-02    0.18785E+05
    0.75189E-02    0.18956E+05
    0.76708E-02    0.19124E+05
    0.78257E-02    0.19290E+05
    0.79838E-02    0.19453E+05
    0.81451E-02    0.19613E+05
    0.83096E-02    0.19770E+05
    0.84775E-02    0.19924E+05
    0.86488E-02    0.20074E+05
    0.88235E-02    0.20220E+05
    0.90017E-02    0.20363E+05
    0.91836E-02    0.20501E+05
    0.93691E-02    0.20635E+05
    0.95583E-02    0.20765E+05
    0.97514E-02    0.20890E+05
    0.99484E-02    0.21010E+05
