#           k/h    P           
    0.10000E-03    0.29644E+03
    0.10202E-03    0.30226E+03
    0.10408E-03    0.30819E+03
    0.10618E-03    0.31424E+03
    0.10833E-03    0.32040E+03
    0.11052E-03    0.32669E+03
    0.11275E-03    0.33310E+03
    0.11503E-03    0.33963E+03
    0.11735E-03    0.34630E+03
    0.11972E-03    0.35309E+03
    0.12214E-03    0.36002E+03
    0.12461E-03    0.36708E+03
    0.12712E-03    0.37428E+03
    0.12969E-03    0.38162E+03
    0.13231E-03    0.38911E+03
    0.13499E-03    0.39674E+03
    0.13771E-03    0.40452E+03
    0.14049E-03    0.41245E+03
    0.14333E-03    0.42054E+03
    0.14623E-03    0.42879E+03
    0.14918E-03    0.43720E+03
    0.15220E-03    0.44577E+03
    0.15527E-03    0.45451E+03
    0.15841E-03    0.46343E+03
    0.16161E-03    0.47251E+03
    0.16487E-03    0.48178E+03
    0.16820E-03    0.49122E+03
    0.17160E-03    0.50085E+03
    0.17507E-03    0.51067E+03
    0.17860E-03    0.52068E+03
    0.18221E-03    0.53089E+03
    0.18589E-03    0.54130E+03
    0.18965E-03    0.55191E+03
    0.19348E-03    0.56272E+03
    0.19739E-03    0.57375E+03
    0.20138E-03    0.58499E+03
    0.20544E-03    0.59645E+03
    0.20959E-03    0.60814E+03
    0.21383E-03    0.62006E+03
    0.21815E-03    0.63220E+03
    0.22255E-03    0.64459E+03
    0.22705E-03    0.65721E+03
    0.23164E-03    0.67008E+03
    0.23632E-03    0.68320E+03
    0.24109E-03    0.69658E+03
    0.24596E-03    0.71022E+03
    0.25093E-03    0.72412E+03
    0.25600E-03    0.73830E+03
    0.26117E-03    0.75275E+03
    0.26645E-03    0.76748E+03
    0.27183E-03    0.78250E+03
    0.27732E-03    0.79781E+03
    0.28292E-03    0.81342E+03
    0.28864E-03    0.82933E+03
    0.29447E-03    0.84555E+03
    0.30042E-03    0.86208E+03
    0.30649E-03    0.87893E+03
    0.31268E-03    0.89612E+03
    0.31899E-03    0.91363E+03
    0.32544E-03    0.93149E+03
    0.33201E-03    0.94968E+03
    0.33872E-03    0.96824E+03
    0.34556E-03    0.98715E+03
    0.35254E-03    0.10064E+04
    0.35966E-03    0.10261E+04
    0.36693E-03    0.10461E+04
    0.37434E-03    0.10665E+04
    0.38190E-03    0.10873E+04
    0.38962E-03    0.11085E+04
    0.39749E-03    0.11301E+04
    0.40552E-03    0.11522E+04
    0.41371E-03    0.11746E+04
    0.42207E-03    0.11975E+04
    0.43060E-03    0.12209E+04
    0.43929E-03    0.12446E+04
    0.44817E-03    0.12689E+04
    0.45722E-03    0.12936E+04
    0.46646E-03    0.13187E+04
    0.47588E-03    0.13444E+04
