#           k/h    P           
    0.10000E-03    0.57296E+02
    0.10202E-03    0.58420E+02
    0.10408E-03    0.59566E+02
    0.10618E-03    0.60735E+02
    0.10833E-03    0.61927E+02
    0.11052E-03    0.63142E+02
    0.11275E-03    0.64381E+02
    0.11503E-03    0.65644E+02
    0.11735E-03    0.66932E+02
    0.11972E-03    0.68245E+02
    0.12214E-03    0.69584E+02
    0.12461E-03    0.70949E+02
    0.12712E-03    0.72341E+02
    0.12969E-03    0.73760E+02
    0.13231E-03    0.75207E+02
    0.13499E-03    0.76682E+02
    0.13771E-03    0.78186E+02
    0.14049E-03    0.79720E+02
    0.14333E-03    0.81284E+02
    0.14623E-03    0.82878E+02
    0.14918E-03    0.84504E+02
    0.15220E-03    0.86161E+02
    0.15527E-03    0.87851E+02
    0.15841E-03    0.89574E+02
    0.16161E-03    0.91330E+02
    0.16487E-03    0.93121E+02
    0.16820E-03    0.94947E+02
    0.17160E-03    0.96809E+02
    0.17507E-03    0.98707E+02
    0.17860E-03    0.10064E+03
    0.18221E-03    0.10262E+03
    0.18589E-03    0.10463E+03
    0.18965E-03    0.10668E+03
    0.19348E-03    0.10877E+03
    0.19739E-03    0.11090E+03
    0.20138E-03    0.11308E+03
    0.20544E-03    0.11529E+03
    0.20959E-03    0.11755E+03
    0.21383E-03    0.11985E+03
    0.21815E-03    0.12220E+03
    0.22255E-03    0.12460E+03
    0.22705E-03    0.12704E+03
    0.23164E-03    0.12953E+03
    0.23632E-03    0.13206E+03
    0.24109E-03    0.13465E+03
    0.24596E-03    0.13729E+03
    0.25093E-03    0.13998E+03
    0.25600E-03    0.14272E+03
    0.26117E-03    0.14551E+03
    0.26645E-03    0.14836E+03
    0.27183E-03    0.15127E+03
    0.27732E-03    0.15423E+03
    0.28292E-03    0.15725E+03
    0.28864E-03    0.16032E+03
    0.29447E-03    0.16346E+03
    0.30042E-03    0.16666E+03
    0.30649E-03    0.16992E+03
    0.31268E-03    0.17324E+03
    0.31899E-03    0.17663E+03
    0.32544E-03    0.18008E+03
    0.33201E-03    0.18360E+03
    0.33872E-03    0.18719E+03
    0.34556E-03    0.19085E+03
    0.35254E-03    0.19458E+03
    0.35966E-03    0.19838E+03
    0.36693E-03    0.20225E+03
    0.37434E-03    0.20620E+03
    0.38190E-03    0.21023E+03
    0.38962E-03    0.21433E+03
    0.39749E-03    0.21852E+03
    0.40552E-03    0.22278E+03
    0.41371E-03    0.22713E+03
    0.42207E-03    0.23155E+03
    0.43060E-03    0.23607E+03
    0.43929E-03    0.24067E+03
    0.44817E-03    0.24536E+03
    0.45722E-03    0.25014E+03
    0.46646E-03    0.25501E+03
    0.47588E-03    0.25997E+03
    0.48550E-03    0.26503E+03
    0.49530E-03    0.27019E+03
    0.50531E-03    0.27544E+03
    0.51552E-03    0.28080E+03
    0.52593E-03    0.28626E+03
    0.53656E-03    0.29182E+03
    0.54739E-03    0.29748E+03
    0.55845E-03    0.30326E+03
    0.56973E-03    0.30914E+03
    0.58124E-03    0.31514E+03
    0.59299E-03    0.32124E+03
    0.60496E-03    0.32747E+03
    0.61719E-03    0.33381E+03
    0.62965E-03    0.34027E+03
    0.64237E-03    0.34685E+03
    0.65535E-03    0.35355E+03
    0.66859E-03    0.36039E+03
    0.68210E-03    0.36734E+03
    0.69588E-03    0.37443E+03
    0.70993E-03    0.38165E+03
    0.72427E-03    0.38901E+03
    0.73891E-03    0.39650E+03
    0.75383E-03    0.40413E+03
