#           k/h    P           
    0.10000E-03    0.31739E+03
    0.10202E-03    0.32362E+03
    0.10408E-03    0.32997E+03
    0.10618E-03    0.33644E+03
    0.10833E-03    0.34304E+03
    0.11052E-03    0.34977E+03
    0.11275E-03    0.35664E+03
    0.11503E-03    0.36363E+03
    0.11735E-03    0.37077E+03
    0.11972E-03    0.37804E+03
    0.12214E-03    0.38546E+03
    0.12461E-03    0.39302E+03
    0.12712E-03    0.40073E+03
    0.12969E-03    0.40859E+03
    0.13231E-03    0.41660E+03
    0.13499E-03    0.42477E+03
    0.13771E-03    0.43311E+03
    0.14049E-03    0.44160E+03
    0.14333E-03    0.45026E+03
    0.14623E-03    0.45909E+03
    0.14918E-03    0.46809E+03
    0.15220E-03    0.47727E+03
    0.15527E-03    0.48663E+03
    0.15841E-03    0.49617E+03
    0.16161E-03    0.50590E+03
    0.16487E-03    0.51582E+03
    0.16820E-03    0.52594E+03
    0.17160E-03    0.53625E+03
    0.17507E-03    0.54676E+03
    0.17860E-03    0.55748E+03
    0.18221E-03    0.56840E+03
    0.18589E-03    0.57955E+03
    0.18965E-03    0.59090E+03
    0.19348E-03    0.60248E+03
    0.19739E-03    0.61429E+03
    0.20138E-03    0.62633E+03
    0.20544E-03    0.63860E+03
    0.20959E-03    0.65111E+03
    0.21383E-03    0.66387E+03
    0.21815E-03    0.67687E+03
    0.22255E-03    0.69013E+03
    0.22705E-03    0.70365E+03
    0.23164E-03    0.71743E+03
    0.23632E-03    0.73148E+03
    0.24109E-03    0.74580E+03
    0.24596E-03    0.76040E+03
    0.25093E-03    0.77529E+03
    0.25600E-03    0.79047E+03
    0.26117E-03    0.80594E+03
    0.26645E-03    0.82171E+03
    0.27183E-03    0.83779E+03
    0.27732E-03    0.85418E+03
    0.28292E-03    0.87089E+03
    0.28864E-03    0.88792E+03
    0.29447E-03    0.90529E+03
    0.30042E-03    0.92299E+03
    0.30649E-03    0.94104E+03
    0.31268E-03    0.95943E+03
    0.31899E-03    0.97818E+03
    0.32544E-03    0.99730E+03
    0.33201E-03    0.10168E+04
    0.33872E-03    0.10366E+04
    0.34556E-03    0.10569E+04
    0.35254E-03    0.10775E+04
    0.35966E-03    0.10986E+04
    0.36693E-03    0.11200E+04
    0.37434E-03    0.11419E+04
    0.38190E-03    0.11641E+04
    0.38962E-03    0.11869E+04
    0.39749E-03    0.12100E+04
    0.40552E-03    0.12336E+04
    0.41371E-03    0.12576E+04
    0.42207E-03    0.12821E+04
    0.43060E-03    0.13071E+04
    0.43929E-03    0.13326E+04
    0.44817E-03    0.13585E+04
    0.45722E-03    0.13849E+04
    0.46646E-03    0.14119E+04
    0.47588E-03    0.14393E+04
    0.48550E-03    0.14673E+04
    0.49530E-03    0.14958E+04
    0.50531E-03    0.15249E+04
    0.51552E-03    0.15545E+04
    0.52593E-03    0.15847E+04
    0.53656E-03    0.16154E+04
    0.54739E-03    0.16468E+04
    0.55845E-03    0.16787E+04
    0.56973E-03    0.17112E+04
    0.58124E-03    0.17444E+04
    0.59299E-03    0.17781E+04
    0.60496E-03    0.18125E+04
    0.61719E-03    0.18476E+04
    0.62965E-03    0.18833E+04
    0.64237E-03    0.19197E+04
    0.65535E-03    0.19567E+04
    0.66859E-03    0.19945E+04
    0.68210E-03    0.20329E+04
    0.69588E-03    0.20721E+04
    0.70993E-03    0.21120E+04
    0.72427E-03    0.21527E+04
    0.73891E-03    0.21940E+04
    0.75383E-03    0.22362E+04
    0.76906E-03    0.22791E+04
    0.78460E-03    0.23229E+04
    0.80045E-03    0.23674E+04
    0.81662E-03    0.24127E+04
    0.83311E-03    0.24589E+04
    0.84994E-03    0.25059E+04
    0.86711E-03    0.25538E+04
    0.88463E-03    0.26026E+04
    0.90250E-03    0.26522E+04
    0.92073E-03    0.27027E+04
    0.93933E-03    0.27541E+04
    0.95831E-03    0.28065E+04
    0.97767E-03    0.28598E+04
    0.99742E-03    0.29140E+04
    0.10176E-02    0.29692E+04
    0.10381E-02    0.30254E+04
    0.10591E-02    0.30826E+04
    0.10805E-02    0.31407E+04
    0.11023E-02    0.31999E+04
    0.11246E-02    0.32602E+04
    0.11473E-02    0.33214E+04
    0.11705E-02    0.33838E+04
    0.11941E-02    0.34472E+04
    0.12182E-02    0.35117E+04
    0.12429E-02    0.35773E+04
    0.12680E-02    0.36440E+04
    0.12936E-02    0.37119E+04
    0.13197E-02    0.37809E+04
    0.13464E-02    0.38510E+04
    0.13736E-02    0.39223E+04
    0.14013E-02    0.39948E+04
    0.14296E-02    0.40685E+04
    0.14585E-02    0.41434E+04
    0.14880E-02    0.42195E+04
    0.15180E-02    0.42969E+04
    0.15487E-02    0.43754E+04
    0.15800E-02    0.44553E+04
    0.16119E-02    0.45364E+04
    0.16445E-02    0.46187E+04
    0.16777E-02    0.47024E+04
    0.17116E-02    0.47873E+04
    0.17462E-02    0.48736E+04
    0.17814E-02    0.49611E+04
    0.18174E-02    0.50500E+04
    0.18541E-02    0.51402E+04
    0.18916E-02    0.52317E+04
    0.19298E-02    0.53246E+04
    0.19688E-02    0.54187E+04
    0.20086E-02    0.55143E+04
    0.20491E-02    0.56112E+04
    0.20905E-02    0.57094E+04
    0.21328E-02    0.58090E+04
    0.21758E-02    0.59099E+04
    0.22198E-02    0.60122E+04
    0.22646E-02    0.61159E+04
    0.23104E-02    0.62209E+04
    0.23571E-02    0.63272E+04
    0.24047E-02    0.64349E+04
    0.24533E-02    0.65440E+04
    0.25028E-02    0.66543E+04
    0.25534E-02    0.67660E+04
    0.26050E-02    0.68790E+04
    0.26576E-02    0.69933E+04
    0.27113E-02    0.71089E+04
    0.27660E-02    0.72258E+04
    0.28219E-02    0.73439E+04
    0.28789E-02    0.74633E+04
    0.29371E-02    0.75839E+04
    0.29964E-02    0.77057E+04
    0.30569E-02    0.78287E+04
    0.31187E-02    0.79529E+04
    0.31817E-02    0.80782E+04
    0.32460E-02    0.82047E+04
    0.33115E-02    0.83322E+04
    0.33784E-02    0.84608E+04
    0.34467E-02    0.85904E+04
    0.35163E-02    0.87210E+04
    0.35874E-02    0.88526E+04
    0.36598E-02    0.89851E+04
    0.37338E-02    0.91185E+04
    0.38092E-02    0.92528E+04
    0.38861E-02    0.93879E+04
    0.39646E-02    0.95237E+04
    0.40447E-02    0.96602E+04
    0.41264E-02    0.97975E+04
    0.42098E-02    0.99353E+04
    0.42948E-02    0.10074E+05
    0.43816E-02    0.10213E+05
    0.44701E-02    0.10352E+05
    0.45604E-02    0.10492E+05
    0.46525E-02    0.10632E+05
    0.47465E-02    0.10773E+05
    0.48424E-02    0.10913E+05
    0.49402E-02    0.11054E+05
    0.50400E-02    0.11195E+05
    0.51419E-02    0.11336E+05
    0.52457E-02    0.11477E+05
    0.53517E-02    0.11618E+05
    0.54598E-02    0.11758E+05
    0.55701E-02    0.11899E+05
    0.56826E-02    0.12039E+05
    0.57974E-02    0.12178E+05
