#           k/h    P           
    0.10000E-03    0.42401E+03
    0.10202E-03    0.43233E+03
    0.10408E-03    0.44081E+03
    0.10618E-03    0.44946E+03
    0.10833E-03    0.45828E+03
    0.11052E-03    0.46727E+03
    0.11275E-03    0.47644E+03
    0.11503E-03    0.48579E+03
    0.11735E-03    0.49532E+03
    0.11972E-03    0.50503E+03
    0.12214E-03    0.51494E+03
    0.12461E-03    0.52504E+03
    0.12712E-03    0.53534E+03
    0.12969E-03    0.54584E+03
    0.13231E-03    0.55655E+03
    0.13499E-03    0.56747E+03
    0.13771E-03    0.57860E+03
    0.14049E-03    0.58994E+03
    0.14333E-03    0.60151E+03
    0.14623E-03    0.61331E+03
    0.14918E-03    0.62534E+03
    0.15220E-03    0.63760E+03
    0.15527E-03    0.65010E+03
    0.15841E-03    0.66285E+03
    0.16161E-03    0.67585E+03
    0.16487E-03    0.68910E+03
    0.16820E-03    0.70261E+03
    0.17160E-03    0.71638E+03
    0.17507E-03    0.73042E+03
    0.17860E-03    0.74474E+03
    0.18221E-03    0.75934E+03
    0.18589E-03    0.77422E+03
    0.18965E-03    0.78940E+03
    0.19348E-03    0.80487E+03
    0.19739E-03    0.82064E+03
    0.20138E-03    0.83672E+03
    0.20544E-03    0.85311E+03
    0.20959E-03    0.86983E+03
    0.21383E-03    0.88687E+03
    0.21815E-03    0.90424E+03
    0.22255E-03    0.92195E+03
    0.22705E-03    0.94001E+03
    0.23164E-03    0.95842E+03
    0.23632E-03    0.97718E+03
    0.24109E-03    0.99632E+03
    0.24596E-03    0.10158E+04
    0.25093E-03    0.10357E+04
    0.25600E-03    0.10560E+04
    0.26117E-03    0.10766E+04
    0.26645E-03    0.10977E+04
    0.27183E-03    0.11192E+04
    0.27732E-03    0.11411E+04
    0.28292E-03    0.11634E+04
    0.28864E-03    0.11862E+04
    0.29447E-03    0.12094E+04
    0.30042E-03    0.12330E+04
    0.30649E-03    0.12571E+04
    0.31268E-03    0.12817E+04
    0.31899E-03    0.13067E+04
    0.32544E-03    0.13323E+04
    0.33201E-03    0.13583E+04
    0.33872E-03    0.13848E+04
    0.34556E-03    0.14119E+04
    0.35254E-03    0.14394E+04
    0.35966E-03    0.14675E+04
    0.36693E-03    0.14962E+04
    0.37434E-03    0.15254E+04
    0.38190E-03    0.15551E+04
    0.38962E-03    0.15855E+04
    0.39749E-03    0.16164E+04
    0.40552E-03    0.16479E+04
    0.41371E-03    0.16800E+04
    0.42207E-03    0.17127E+04
    0.43060E-03    0.17461E+04
    0.43929E-03    0.17801E+04
    0.44817E-03    0.18147E+04
    0.45722E-03    0.18500E+04
    0.46646E-03    0.18860E+04
    0.47588E-03    0.19227E+04
    0.48550E-03    0.19601E+04
    0.49530E-03    0.19982E+04
    0.50531E-03    0.20370E+04
    0.51552E-03    0.20765E+04
    0.52593E-03    0.21168E+04
    0.53656E-03    0.21579E+04
    0.54739E-03    0.21997E+04
    0.55845E-03    0.22424E+04
    0.56973E-03    0.22858E+04
    0.58124E-03    0.23301E+04
    0.59299E-03    0.23752E+04
    0.60496E-03    0.24211E+04
    0.61719E-03    0.24680E+04
