#           k/h    P           
    0.10000E-03    0.43700E+03
    0.10202E-03    0.44558E+03
    0.10408E-03    0.45432E+03
    0.10618E-03    0.46323E+03
    0.10833E-03    0.47232E+03
    0.11052E-03    0.48159E+03
    0.11275E-03    0.49104E+03
    0.11503E-03    0.50067E+03
    0.11735E-03    0.51049E+03
    0.11972E-03    0.52051E+03
    0.12214E-03    0.53072E+03
    0.12461E-03    0.54113E+03
    0.12712E-03    0.55174E+03
    0.12969E-03    0.56257E+03
    0.13231E-03    0.57360E+03
    0.13499E-03    0.58485E+03
    0.13771E-03    0.59632E+03
    0.14049E-03    0.60802E+03
    0.14333E-03    0.61994E+03
    0.14623E-03    0.63210E+03
    0.14918E-03    0.64450E+03
    0.15220E-03    0.65714E+03
    0.15527E-03    0.67002E+03
    0.15841E-03    0.68316E+03
    0.16161E-03    0.69655E+03
    0.16487E-03    0.71021E+03
    0.16820E-03    0.72413E+03
    0.17160E-03    0.73833E+03
    0.17507E-03    0.75280E+03
    0.17860E-03    0.76756E+03
    0.18221E-03    0.78260E+03
    0.18589E-03    0.79794E+03
    0.18965E-03    0.81358E+03
    0.19348E-03    0.82953E+03
    0.19739E-03    0.84578E+03
    0.20138E-03    0.86235E+03
    0.20544E-03    0.87925E+03
    0.20959E-03    0.89648E+03
    0.21383E-03    0.91404E+03
    0.21815E-03    0.93194E+03
    0.22255E-03    0.95020E+03
    0.22705E-03    0.96881E+03
    0.23164E-03    0.98778E+03
    0.23632E-03    0.10071E+04
    0.24109E-03    0.10268E+04
    0.24596E-03    0.10469E+04
    0.25093E-03    0.10674E+04
    0.25600E-03    0.10883E+04
    0.26117E-03    0.11096E+04
    0.26645E-03    0.11313E+04
    0.27183E-03    0.11535E+04
    0.27732E-03    0.11760E+04
    0.28292E-03    0.11991E+04
    0.28864E-03    0.12225E+04
    0.29447E-03    0.12464E+04
    0.30042E-03    0.12708E+04
    0.30649E-03    0.12956E+04
    0.31268E-03    0.13209E+04
    0.31899E-03    0.13468E+04
    0.32544E-03    0.13731E+04
    0.33201E-03    0.13999E+04
    0.33872E-03    0.14272E+04
    0.34556E-03    0.14551E+04
    0.35254E-03    0.14835E+04
    0.35966E-03    0.15125E+04
    0.36693E-03    0.15420E+04
    0.37434E-03    0.15721E+04
    0.38190E-03    0.16028E+04
    0.38962E-03    0.16340E+04
    0.39749E-03    0.16659E+04
    0.40552E-03    0.16984E+04
