#           k/h    P           
    0.10000E-03    0.10160E+03
    0.10202E-03    0.10360E+03
    0.10408E-03    0.10563E+03
    0.10618E-03    0.10770E+03
    0.10833E-03    0.10982E+03
    0.11052E-03    0.11197E+03
    0.11275E-03    0.11417E+03
    0.11503E-03    0.11641E+03
    0.11735E-03    0.11869E+03
    0.11972E-03    0.12102E+03
    0.12214E-03    0.12339E+03
    0.12461E-03    0.12582E+03
    0.12712E-03    0.12828E+03
    0.12969E-03    0.13080E+03
    0.13231E-03    0.13337E+03
    0.13499E-03    0.13598E+03
    0.13771E-03    0.13865E+03
    0.14049E-03    0.14137E+03
    0.14333E-03    0.14414E+03
    0.14623E-03    0.14697E+03
    0.14918E-03    0.14985E+03
    0.15220E-03    0.15279E+03
    0.15527E-03    0.15579E+03
    0.15841E-03    0.15884E+03
    0.16161E-03    0.16196E+03
    0.16487E-03    0.16513E+03
    0.16820E-03    0.16837E+03
    0.17160E-03    0.17167E+03
    0.17507E-03    0.17504E+03
    0.17860E-03    0.17847E+03
    0.18221E-03    0.18197E+03
    0.18589E-03    0.18553E+03
    0.18965E-03    0.18917E+03
    0.19348E-03    0.19288E+03
    0.19739E-03    0.19666E+03
    0.20138E-03    0.20051E+03
    0.20544E-03    0.20444E+03
    0.20959E-03    0.20845E+03
    0.21383E-03    0.21253E+03
    0.21815E-03    0.21670E+03
    0.22255E-03    0.22094E+03
    0.22705E-03    0.22527E+03
    0.23164E-03    0.22968E+03
    0.23632E-03    0.23418E+03
    0.24109E-03    0.23877E+03
    0.24596E-03    0.24345E+03
    0.25093E-03    0.24821E+03
    0.25600E-03    0.25307E+03
    0.26117E-03    0.25803E+03
    0.26645E-03    0.26308E+03
    0.27183E-03    0.26823E+03
    0.27732E-03    0.27348E+03
    0.28292E-03    0.27883E+03
    0.28864E-03    0.28428E+03
    0.29447E-03    0.28985E+03
    0.30042E-03    0.29551E+03
    0.30649E-03    0.30129E+03
    0.31268E-03    0.30719E+03
    0.31899E-03    0.31319E+03
    0.32544E-03    0.31931E+03
    0.33201E-03    0.32556E+03
    0.33872E-03    0.33192E+03
    0.34556E-03    0.33840E+03
    0.35254E-03    0.34501E+03
    0.35966E-03    0.35175E+03
    0.36693E-03    0.35862E+03
    0.37434E-03    0.36562E+03
    0.38190E-03    0.37276E+03
    0.38962E-03    0.38003E+03
    0.39749E-03    0.38745E+03
    0.40552E-03    0.39500E+03
    0.41371E-03    0.40271E+03
    0.42207E-03    0.41056E+03
