#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.339485E-05   0.209106E+07   0.209106E+07   0.278806E+07   0.278806E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.215860E-01
   0.346343E-05   0.209106E+07   0.209106E+07   0.278806E+07   0.278806E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.220220E-01
   0.353340E-05   0.209106E+07   0.209106E+07   0.278806E+07   0.278806E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.224669E-01
   0.360478E-05   0.209106E+07   0.209106E+07   0.278806E+07   0.278806E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.229208E-01
   0.367760E-05   0.209106E+07   0.209106E+07   0.278806E+07   0.278806E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.233838E-01
   0.375189E-05   0.209106E+07   0.209106E+07   0.278806E+07   0.278806E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.238562E-01
   0.382769E-05   0.209106E+07   0.209106E+07   0.278806E+07   0.278806E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.243381E-01
   0.390501E-05   0.209106E+07   0.209106E+07   0.278806E+07   0.278806E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.248298E-01
   0.398390E-05   0.209106E+07   0.209106E+07   0.278805E+07   0.278805E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.253313E-01
   0.406438E-05   0.209106E+07   0.209106E+07   0.278805E+07   0.278805E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.258431E-01
   0.414648E-05   0.209106E+07   0.209106E+07   0.278805E+07   0.278805E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.263651E-01
   0.423025E-05   0.209106E+07   0.209106E+07   0.278805E+07   0.278805E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.268977E-01
   0.431570E-05   0.209106E+07   0.209106E+07   0.278805E+07   0.278805E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.274411E-01
   0.440289E-05   0.209106E+07   0.209106E+07   0.278805E+07   0.278805E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.279955E-01
   0.449183E-05   0.209106E+07   0.209106E+07   0.278805E+07   0.278805E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.285610E-01
   0.458257E-05   0.209106E+07   0.209106E+07   0.278805E+07   0.278805E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.291380E-01
   0.467515E-05   0.209106E+07   0.209106E+07   0.278805E+07   0.278805E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.297266E-01
   0.476959E-05   0.209106E+07   0.209106E+07   0.278805E+07   0.278804E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.303271E-01
   0.486594E-05   0.209106E+07   0.209106E+07   0.278804E+07   0.278804E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.309398E-01
   0.496424E-05   0.209106E+07   0.209106E+07   0.278804E+07   0.278804E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.315648E-01
   0.506453E-05   0.209106E+07   0.209106E+07   0.278804E+07   0.278804E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.322024E-01
   0.516684E-05   0.209106E+07   0.209106E+07   0.278804E+07   0.278804E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.328530E-01
   0.527121E-05   0.209106E+07   0.209106E+07   0.278804E+07   0.278804E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.335166E-01
   0.537770E-05   0.209106E+07   0.209106E+07   0.278804E+07   0.278804E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.341937E-01
   0.548633E-05   0.209106E+07   0.209106E+07   0.278804E+07   0.278803E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.348845E-01
   0.559717E-05   0.209106E+07   0.209106E+07   0.278803E+07   0.278803E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.355892E-01
   0.571024E-05   0.209106E+07   0.209106E+07   0.278803E+07   0.278803E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.363081E-01
   0.582559E-05   0.209106E+07   0.209106E+07   0.278803E+07   0.278803E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.370416E-01
   0.594328E-05   0.209106E+07   0.209106E+07   0.278803E+07   0.278803E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.377899E-01
   0.606334E-05   0.209106E+07   0.209106E+07   0.278803E+07   0.278803E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.385533E-01
   0.618583E-05   0.209106E+07   0.209106E+07   0.278802E+07   0.278802E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.393321E-01
   0.631079E-05   0.209106E+07   0.209106E+07   0.278802E+07   0.278802E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.401267E-01
   0.643827E-05   0.209106E+07   0.209106E+07   0.278802E+07   0.278802E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.409373E-01
   0.656834E-05   0.209106E+07   0.209106E+07   0.278802E+07   0.278802E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.417643E-01
   0.670102E-05   0.209106E+07   0.209106E+07   0.278802E+07   0.278801E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.426080E-01
   0.683639E-05   0.209106E+07   0.209106E+07   0.278801E+07   0.278801E+07   0.209284E+07   0.209112E+07   0.209106E+07   0.209741E+07  -0.600438E+00   0.208777E+07   0.208777E+07   0.434687E-01
