#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.339485E-05   0.153732E+08   0.153732E+08   0.204967E+08   0.204967E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114613E+08   0.114613E+08   0.315686E-02
   0.346343E-05   0.153732E+08   0.153732E+08   0.204967E+08   0.204967E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114613E+08   0.114613E+08   0.322064E-02
   0.353340E-05   0.153732E+08   0.153732E+08   0.204966E+08   0.204966E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114613E+08   0.114613E+08   0.328570E-02
   0.360478E-05   0.153732E+08   0.153732E+08   0.204966E+08   0.204966E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114613E+08   0.114613E+08   0.335207E-02
   0.367760E-05   0.153732E+08   0.153732E+08   0.204965E+08   0.204965E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.341979E-02
   0.375189E-05   0.153732E+08   0.153732E+08   0.204965E+08   0.204965E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114613E+08   0.114613E+08   0.348887E-02
   0.382769E-05   0.153732E+08   0.153732E+08   0.204965E+08   0.204965E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.355935E-02
   0.390501E-05   0.153732E+08   0.153732E+08   0.204964E+08   0.204964E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.363125E-02
   0.398390E-05   0.153732E+08   0.153732E+08   0.204964E+08   0.204964E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.370461E-02
   0.406438E-05   0.153732E+08   0.153732E+08   0.204963E+08   0.204963E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.377945E-02
   0.414648E-05   0.153732E+08   0.153732E+08   0.204963E+08   0.204962E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114613E+08   0.114613E+08   0.385580E-02
   0.423025E-05   0.153732E+08   0.153732E+08   0.204962E+08   0.204962E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.393369E-02
   0.431570E-05   0.153732E+08   0.153732E+08   0.204961E+08   0.204961E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.401315E-02
   0.440289E-05   0.153732E+08   0.153732E+08   0.204961E+08   0.204961E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.409422E-02
   0.449183E-05   0.153732E+08   0.153732E+08   0.204960E+08   0.204960E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.417693E-02
   0.458257E-05   0.153732E+08   0.153732E+08   0.204960E+08   0.204959E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.426131E-02
   0.467515E-05   0.153732E+08   0.153732E+08   0.204959E+08   0.204959E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.434739E-02
   0.476959E-05   0.153732E+08   0.153732E+08   0.204958E+08   0.204958E+08   0.153734E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.443522E-02
   0.486594E-05   0.153732E+08   0.153732E+08   0.204957E+08   0.204957E+08   0.153734E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.452481E-02
   0.496424E-05   0.153732E+08   0.153732E+08   0.204957E+08   0.204957E+08   0.153735E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.461622E-02
   0.506453E-05   0.153732E+08   0.153732E+08   0.204956E+08   0.204956E+08   0.153734E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.470947E-02
   0.516684E-05   0.153732E+08   0.153732E+08   0.204955E+08   0.204955E+08   0.153734E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.480461E-02
   0.527121E-05   0.153732E+08   0.153732E+08   0.204954E+08   0.204954E+08   0.153734E+08   0.153732E+08   0.153732E+08   0.153789E+08  -0.541187E+00   0.114612E+08   0.114612E+08   0.490167E-02
