#           k/h    P           
    0.10000E-03    0.41977E+03
    0.10202E-03    0.42800E+03
    0.10408E-03    0.43640E+03
    0.10618E-03    0.44496E+03
    0.10833E-03    0.45369E+03
    0.11052E-03    0.46259E+03
    0.11275E-03    0.47167E+03
    0.11503E-03    0.48092E+03
    0.11735E-03    0.49036E+03
    0.11972E-03    0.49998E+03
    0.12214E-03    0.50978E+03
    0.12461E-03    0.51978E+03
    0.12712E-03    0.52998E+03
    0.12969E-03    0.54038E+03
    0.13231E-03    0.55098E+03
    0.13499E-03    0.56178E+03
    0.13771E-03    0.57280E+03
    0.14049E-03    0.58404E+03
    0.14333E-03    0.59549E+03
    0.14623E-03    0.60717E+03
    0.14918E-03    0.61907E+03
    0.15220E-03    0.63121E+03
    0.15527E-03    0.64359E+03
    0.15841E-03    0.65621E+03
    0.16161E-03    0.66908E+03
    0.16487E-03    0.68220E+03
    0.16820E-03    0.69557E+03
    0.17160E-03    0.70921E+03
    0.17507E-03    0.72311E+03
    0.17860E-03    0.73728E+03
    0.18221E-03    0.75174E+03
    0.18589E-03    0.76647E+03
    0.18965E-03    0.78149E+03
    0.19348E-03    0.79681E+03
    0.19739E-03    0.81242E+03
    0.20138E-03    0.82834E+03
    0.20544E-03    0.84457E+03
    0.20959E-03    0.86112E+03
    0.21383E-03    0.87799E+03
    0.21815E-03    0.89518E+03
    0.22255E-03    0.91272E+03
    0.22705E-03    0.93059E+03
    0.23164E-03    0.94882E+03
    0.23632E-03    0.96740E+03
    0.24109E-03    0.98634E+03
    0.24596E-03    0.10056E+04
    0.25093E-03    0.10253E+04
    0.25600E-03    0.10454E+04
    0.26117E-03    0.10659E+04
    0.26645E-03    0.10867E+04
    0.27183E-03    0.11080E+04
    0.27732E-03    0.11297E+04
    0.28292E-03    0.11518E+04
    0.28864E-03    0.11743E+04
    0.29447E-03    0.11973E+04
    0.30042E-03    0.12207E+04
    0.30649E-03    0.12445E+04
    0.31268E-03    0.12688E+04
    0.31899E-03    0.12936E+04
    0.32544E-03    0.13189E+04
    0.33201E-03    0.13447E+04
    0.33872E-03    0.13710E+04
    0.34556E-03    0.13977E+04
    0.35254E-03    0.14250E+04
    0.35966E-03    0.14528E+04
    0.36693E-03    0.14812E+04
    0.37434E-03    0.15101E+04
    0.38190E-03    0.15396E+04
    0.38962E-03    0.15696E+04
    0.39749E-03    0.16002E+04
    0.40552E-03    0.16314E+04
    0.41371E-03    0.16632E+04
