#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.339485E-05   0.152253E+08   0.152253E+08   0.202995E+08   0.202995E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.319571E-02
   0.346343E-05   0.152253E+08   0.152253E+08   0.202995E+08   0.202994E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.326027E-02
   0.353340E-05   0.152253E+08   0.152253E+08   0.202994E+08   0.202994E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.332613E-02
   0.360478E-05   0.152253E+08   0.152253E+08   0.202994E+08   0.202994E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.339333E-02
   0.367760E-05   0.152253E+08   0.152253E+08   0.202993E+08   0.202993E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.346188E-02
   0.375189E-05   0.152253E+08   0.152253E+08   0.202993E+08   0.202993E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.353181E-02
   0.382769E-05   0.152253E+08   0.152253E+08   0.202992E+08   0.202992E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.360316E-02
   0.390501E-05   0.152253E+08   0.152253E+08   0.202992E+08   0.202992E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.367594E-02
   0.398390E-05   0.152253E+08   0.152253E+08   0.202991E+08   0.202991E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.375020E-02
   0.406438E-05   0.152253E+08   0.152253E+08   0.202991E+08   0.202991E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.382596E-02
   0.414648E-05   0.152253E+08   0.152253E+08   0.202990E+08   0.202990E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.390325E-02
   0.423025E-05   0.152253E+08   0.152253E+08   0.202990E+08   0.202990E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.398210E-02
   0.431570E-05   0.152253E+08   0.152253E+08   0.202989E+08   0.202989E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.406254E-02
   0.440289E-05   0.152253E+08   0.152253E+08   0.202989E+08   0.202989E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.414461E-02
   0.449183E-05   0.152253E+08   0.152253E+08   0.202988E+08   0.202988E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.422834E-02
   0.458257E-05   0.152253E+08   0.152253E+08   0.202987E+08   0.202987E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.431376E-02
   0.467515E-05   0.152253E+08   0.152253E+08   0.202987E+08   0.202987E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.440090E-02
   0.476959E-05   0.152253E+08   0.152253E+08   0.202986E+08   0.202986E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.448980E-02
   0.486594E-05   0.152253E+08   0.152253E+08   0.202985E+08   0.202985E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.458050E-02
   0.496424E-05   0.152253E+08   0.152253E+08   0.202985E+08   0.202985E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.467303E-02
   0.506453E-05   0.152253E+08   0.152253E+08   0.202984E+08   0.202984E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.476743E-02
   0.516684E-05   0.152253E+08   0.152253E+08   0.202983E+08   0.202983E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.486374E-02
   0.527121E-05   0.152253E+08   0.152253E+08   0.202982E+08   0.202982E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.496199E-02
   0.537770E-05   0.152253E+08   0.152253E+08   0.202981E+08   0.202981E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.506223E-02
   0.548633E-05   0.152253E+08   0.152253E+08   0.202980E+08   0.202980E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.516449E-02
   0.559717E-05   0.152253E+08   0.152253E+08   0.202979E+08   0.202979E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.526882E-02
   0.571024E-05   0.152253E+08   0.152253E+08   0.202978E+08   0.202978E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.537526E-02
   0.582559E-05   0.152253E+08   0.152253E+08   0.202977E+08   0.202977E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.548384E-02
   0.594328E-05   0.152253E+08   0.152253E+08   0.202976E+08   0.202976E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.559462E-02
   0.606334E-05   0.152253E+08   0.152253E+08   0.202975E+08   0.202975E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.570764E-02
   0.618583E-05   0.152253E+08   0.152253E+08   0.202974E+08   0.202974E+08   0.152255E+08   0.152253E+08   0.152253E+08   0.152310E+08  -0.542944E+00   0.114509E+08   0.114509E+08   0.582294E-02
