#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.339485E-05   0.624969E+07   0.624969E+07   0.833277E+07   0.833277E+07   0.625032E+07   0.624971E+07   0.624969E+07   0.625598E+07  -0.596376E+00   0.612990E+07   0.612990E+07   0.796588E-02
   0.346343E-05   0.624969E+07   0.624969E+07   0.833277E+07   0.833277E+07   0.625032E+07   0.624971E+07   0.624969E+07   0.625598E+07  -0.596376E+00   0.612990E+07   0.612990E+07   0.812681E-02
   0.353340E-05   0.624969E+07   0.624969E+07   0.833276E+07   0.833276E+07   0.625032E+07   0.624971E+07   0.624969E+07   0.625598E+07  -0.596376E+00   0.612990E+07   0.612990E+07   0.829098E-02
   0.360478E-05   0.624969E+07   0.624969E+07   0.833276E+07   0.833275E+07   0.625032E+07   0.624971E+07   0.624969E+07   0.625598E+07  -0.596376E+00   0.612990E+07   0.612990E+07   0.845847E-02
   0.367760E-05   0.624969E+07   0.624969E+07   0.833275E+07   0.833275E+07   0.625032E+07   0.624971E+07   0.624969E+07   0.625598E+07  -0.596376E+00   0.612990E+07   0.612990E+07   0.862934E-02
   0.375189E-05   0.624969E+07   0.624969E+07   0.833274E+07   0.833274E+07   0.625032E+07   0.624971E+07   0.624969E+07   0.625598E+07  -0.596376E+00   0.612990E+07   0.612990E+07   0.880366E-02
   0.382769E-05   0.624969E+07   0.624969E+07   0.833273E+07   0.833273E+07   0.625032E+07   0.624971E+07   0.624969E+07   0.625598E+07  -0.596376E+00   0.612990E+07   0.612990E+07   0.898151E-02
   0.390501E-05   0.624969E+07   0.624969E+07   0.833273E+07   0.833273E+07   0.625032E+07   0.624971E+07   0.624969E+07   0.625598E+07  -0.596376E+00   0.612990E+07   0.612990E+07   0.916294E-02
   0.398390E-05   0.624969E+07   0.624969E+07   0.833272E+07   0.833272E+07   0.625031E+07   0.624971E+07   0.624969E+07   0.625598E+07  -0.596376E+00   0.612990E+07   0.612990E+07   0.934805E-02
   0.406438E-05   0.624969E+07   0.624969E+07   0.833271E+07   0.833271E+07   0.625031E+07   0.624971E+07   0.624969E+07   0.625598E+07  -0.596376E+00   0.612990E+07   0.612990E+07   0.953689E-02
   0.414648E-05   0.624969E+07   0.624969E+07   0.833270E+07   0.833270E+07   0.625032E+07   0.624971E+07   0.624969E+07   0.625598E+07  -0.596376E+00   0.612990E+07   0.612990E+07   0.972955E-02
   0.423025E-05   0.624969E+07   0.624969E+07   0.833269E+07   0.833269E+07   0.625031E+07   0.624971E+07   0.624969E+07   0.625598E+07  -0.596376E+00   0.612990E+07   0.612990E+07   0.992610E-02
   0.431570E-05   0.624969E+07   0.624969E+07   0.833268E+07   0.833268E+07   0.625031E+07   0.624971E+07   0.624969E+07   0.625598E+07  -0.596376E+00   0.612990E+07   0.612990E+07   0.101266E-01
