#           k/h    P           
    0.10000E-03    0.38343E+03
    0.10202E-03    0.39095E+03
    0.10408E-03    0.39862E+03
    0.10618E-03    0.40644E+03
    0.10833E-03    0.41442E+03
    0.11052E-03    0.42255E+03
    0.11275E-03    0.43084E+03
    0.11503E-03    0.43929E+03
    0.11735E-03    0.44791E+03
    0.11972E-03    0.45669E+03
    0.12214E-03    0.46565E+03
    0.12461E-03    0.47479E+03
    0.12712E-03    0.48410E+03
    0.12969E-03    0.49360E+03
    0.13231E-03    0.50328E+03
    0.13499E-03    0.51315E+03
    0.13771E-03    0.52321E+03
    0.14049E-03    0.53348E+03
    0.14333E-03    0.54394E+03
    0.14623E-03    0.55461E+03
    0.14918E-03    0.56548E+03
    0.15220E-03    0.57657E+03
    0.15527E-03    0.58788E+03
    0.15841E-03    0.59940E+03
    0.16161E-03    0.61116E+03
    0.16487E-03    0.62314E+03
    0.16820E-03    0.63536E+03
    0.17160E-03    0.64781E+03
    0.17507E-03    0.66051E+03
    0.17860E-03    0.67346E+03
    0.18221E-03    0.68666E+03
    0.18589E-03    0.70012E+03
    0.18965E-03    0.71384E+03
    0.19348E-03    0.72783E+03
    0.19739E-03    0.74209E+03
    0.20138E-03    0.75663E+03
    0.20544E-03    0.77146E+03
    0.20959E-03    0.78657E+03
    0.21383E-03    0.80198E+03
    0.21815E-03    0.81769E+03
    0.22255E-03    0.83371E+03
    0.22705E-03    0.85004E+03
    0.23164E-03    0.86668E+03
    0.23632E-03    0.88366E+03
    0.24109E-03    0.90096E+03
    0.24596E-03    0.91860E+03
    0.25093E-03    0.93658E+03
    0.25600E-03    0.95491E+03
    0.26117E-03    0.97360E+03
    0.26645E-03    0.99265E+03
    0.27183E-03    0.10121E+04
    0.27732E-03    0.10319E+04
    0.28292E-03    0.10521E+04
    0.28864E-03    0.10726E+04
    0.29447E-03    0.10936E+04
    0.30042E-03    0.11150E+04
    0.30649E-03    0.11368E+04
    0.31268E-03    0.11590E+04
    0.31899E-03    0.11817E+04
    0.32544E-03    0.12048E+04
    0.33201E-03    0.12283E+04
    0.33872E-03    0.12523E+04
    0.34556E-03    0.12767E+04
    0.35254E-03    0.13017E+04
    0.35966E-03    0.13271E+04
    0.36693E-03    0.13530E+04
    0.37434E-03    0.13794E+04
    0.38190E-03    0.14063E+04
    0.38962E-03    0.14337E+04
    0.39749E-03    0.14617E+04
    0.40552E-03    0.14902E+04
    0.41371E-03    0.15192E+04
    0.42207E-03    0.15488E+04
    0.43060E-03    0.15790E+04
    0.43929E-03    0.16097E+04
    0.44817E-03    0.16411E+04
    0.45722E-03    0.16730E+04
    0.46646E-03    0.17055E+04
    0.47588E-03    0.17387E+04
    0.48550E-03    0.17725E+04
    0.49530E-03    0.18070E+04
    0.50531E-03    0.18421E+04
    0.51552E-03    0.18778E+04
    0.52593E-03    0.19143E+04
    0.53656E-03    0.19514E+04
    0.54739E-03    0.19893E+04
    0.55845E-03    0.20278E+04
    0.56973E-03    0.20671E+04
    0.58124E-03    0.21071E+04
    0.59299E-03    0.21479E+04
    0.60496E-03    0.21895E+04
    0.61719E-03    0.22318E+04
    0.62965E-03    0.22749E+04
    0.64237E-03    0.23189E+04
    0.65535E-03    0.23636E+04
    0.66859E-03    0.24092E+04
    0.68210E-03    0.24557E+04
    0.69588E-03    0.25030E+04
    0.70993E-03    0.25512E+04
    0.72427E-03    0.26003E+04
    0.73891E-03    0.26503E+04
    0.75383E-03    0.27012E+04
    0.76906E-03    0.27531E+04
    0.78460E-03    0.28059E+04
    0.80045E-03    0.28597E+04
    0.81662E-03    0.29144E+04
    0.83311E-03    0.29702E+04
    0.84994E-03    0.30270E+04
    0.86711E-03    0.30848E+04
    0.88463E-03    0.31437E+04
    0.90250E-03    0.32036E+04
    0.92073E-03    0.32647E+04
    0.93933E-03    0.33268E+04
    0.95831E-03    0.33900E+04
    0.97767E-03    0.34544E+04
    0.99742E-03    0.35199E+04
    0.10176E-02    0.35866E+04
    0.10381E-02    0.36544E+04
    0.10591E-02    0.37235E+04
    0.10805E-02    0.37938E+04
    0.11023E-02    0.38653E+04
    0.11246E-02    0.39380E+04
    0.11473E-02    0.40120E+04
    0.11705E-02    0.40873E+04
    0.11941E-02    0.41639E+04
    0.12182E-02    0.42418E+04
    0.12429E-02    0.43211E+04
    0.12680E-02    0.44017E+04
    0.12936E-02    0.44836E+04
    0.13197E-02    0.45669E+04
    0.13464E-02    0.46517E+04
    0.13736E-02    0.47378E+04
    0.14013E-02    0.48254E+04
    0.14296E-02    0.49144E+04
    0.14585E-02    0.50048E+04
    0.14880E-02    0.50968E+04
    0.15180E-02    0.51902E+04
    0.15487E-02    0.52851E+04
    0.15800E-02    0.53815E+04
    0.16119E-02    0.54794E+04
    0.16445E-02    0.55789E+04
    0.16777E-02    0.56800E+04
    0.17116E-02    0.57826E+04
    0.17462E-02    0.58868E+04
    0.17814E-02    0.59925E+04
    0.18174E-02    0.60999E+04
    0.18541E-02    0.62088E+04
    0.18916E-02    0.63193E+04
    0.19298E-02    0.64315E+04
    0.19688E-02    0.65452E+04
    0.20086E-02    0.66606E+04
    0.20491E-02    0.67777E+04
    0.20905E-02    0.68963E+04
    0.21328E-02    0.70166E+04
    0.21758E-02    0.71385E+04
    0.22198E-02    0.72621E+04
    0.22646E-02    0.73873E+04
    0.23104E-02    0.75141E+04
    0.23571E-02    0.76425E+04
    0.24047E-02    0.77726E+04
    0.24533E-02    0.79043E+04
    0.25028E-02    0.80376E+04
    0.25534E-02    0.81725E+04
    0.26050E-02    0.83090E+04
    0.26576E-02    0.84470E+04
    0.27113E-02    0.85866E+04
    0.27660E-02    0.87278E+04
    0.28219E-02    0.88705E+04
    0.28789E-02    0.90146E+04
    0.29371E-02    0.91603E+04
    0.29964E-02    0.93075E+04
    0.30569E-02    0.94560E+04
    0.31187E-02    0.96060E+04
    0.31817E-02    0.97574E+04
    0.32460E-02    0.99101E+04
    0.33115E-02    0.10064E+05
    0.33784E-02    0.10219E+05
    0.34467E-02    0.10376E+05
    0.35163E-02    0.10534E+05
    0.35874E-02    0.10693E+05
    0.36598E-02    0.10853E+05
    0.37338E-02    0.11014E+05
    0.38092E-02    0.11176E+05
    0.38861E-02    0.11339E+05
    0.39646E-02    0.11503E+05
    0.40447E-02    0.11668E+05
    0.41264E-02    0.11834E+05
    0.42098E-02    0.12000E+05
    0.42948E-02    0.12167E+05
    0.43816E-02    0.12335E+05
    0.44701E-02    0.12504E+05
    0.45604E-02    0.12672E+05
    0.46525E-02    0.12842E+05
    0.47465E-02    0.13011E+05
    0.48424E-02    0.13181E+05
    0.49402E-02    0.13351E+05
    0.50400E-02    0.13521E+05
    0.51419E-02    0.13692E+05
    0.52457E-02    0.13862E+05
    0.53517E-02    0.14032E+05
    0.54598E-02    0.14202E+05
    0.55701E-02    0.14371E+05
    0.56826E-02    0.14540E+05
    0.57974E-02    0.14709E+05
    0.59145E-02    0.14877E+05
    0.60340E-02    0.15044E+05
    0.61559E-02    0.15210E+05
    0.62803E-02    0.15376E+05
    0.64072E-02    0.15540E+05
    0.65366E-02    0.15703E+05
    0.66686E-02    0.15865E+05
    0.68033E-02    0.16026E+05
    0.69408E-02    0.16185E+05
    0.70810E-02    0.16342E+05
    0.72240E-02    0.16498E+05
    0.73700E-02    0.16651E+05
    0.75189E-02    0.16803E+05
    0.76708E-02    0.16952E+05
    0.78257E-02    0.17099E+05
    0.79838E-02    0.17244E+05
    0.81451E-02    0.17386E+05
    0.83096E-02    0.17525E+05
    0.84775E-02    0.17661E+05
    0.86488E-02    0.17794E+05
    0.88235E-02    0.17924E+05
    0.90017E-02    0.18050E+05
    0.91836E-02    0.18173E+05
    0.93691E-02    0.18292E+05
    0.95583E-02    0.18407E+05
    0.97514E-02    0.18518E+05
    0.99484E-02    0.18625E+05
    0.10149E-01    0.18727E+05
    0.10354E-01    0.18824E+05
    0.10564E-01    0.18917E+05
    0.10777E-01    0.19005E+05
    0.10995E-01    0.19087E+05
    0.11217E-01    0.19164E+05
    0.11443E-01    0.19236E+05
    0.11675E-01    0.19302E+05
    0.11910E-01    0.19362E+05
    0.12151E-01    0.19415E+05
    0.12397E-01    0.19463E+05
    0.12647E-01    0.19504E+05
    0.12902E-01    0.19538E+05
    0.13163E-01    0.19565E+05
    0.13429E-01    0.19585E+05
    0.13700E-01    0.19598E+05
    0.13977E-01    0.19604E+05
    0.14259E-01    0.19602E+05
    0.14547E-01    0.19592E+05
    0.14841E-01    0.19575E+05
    0.15141E-01    0.19549E+05
    0.15447E-01    0.19515E+05
    0.15759E-01    0.19473E+05
    0.16077E-01    0.19422E+05
    0.16402E-01    0.19363E+05
    0.16734E-01    0.19294E+05
    0.17072E-01    0.19217E+05
    0.17416E-01    0.19132E+05
    0.17768E-01    0.19037E+05
    0.18127E-01    0.18933E+05
    0.18493E-01    0.18820E+05
    0.18867E-01    0.18698E+05
    0.19248E-01    0.18567E+05
    0.19637E-01    0.18427E+05
    0.20034E-01    0.18278E+05
    0.20438E-01    0.18120E+05
    0.20851E-01    0.17953E+05
    0.21272E-01    0.17778E+05
    0.21702E-01    0.17594E+05
    0.22141E-01    0.17402E+05
    0.22588E-01    0.17202E+05
    0.23044E-01    0.16993E+05
    0.23510E-01    0.16778E+05
    0.23985E-01    0.16554E+05
    0.24469E-01    0.16324E+05
    0.24964E-01    0.16088E+05
    0.25468E-01    0.15845E+05
    0.25982E-01    0.15596E+05
    0.26507E-01    0.15342E+05
    0.27043E-01    0.15084E+05
    0.27589E-01    0.14821E+05
    0.28146E-01    0.14555E+05
    0.28715E-01    0.14285E+05
    0.29295E-01    0.14013E+05
    0.29887E-01    0.13739E+05
    0.30490E-01    0.13464E+05
    0.31106E-01    0.13189E+05
    0.31735E-01    0.12913E+05
    0.32376E-01    0.12639E+05
    0.33030E-01    0.12366E+05
    0.33697E-01    0.12095E+05
    0.34378E-01    0.11827E+05
    0.35072E-01    0.11563E+05
    0.35781E-01    0.11303E+05
    0.36504E-01    0.11048E+05
    0.37241E-01    0.10799E+05
    0.37993E-01    0.10555E+05
    0.38761E-01    0.10318E+05
    0.39544E-01    0.10089E+05
    0.40343E-01    0.98669E+04
    0.41158E-01    0.96528E+04
    0.41989E-01    0.94470E+04
    0.42838E-01    0.92497E+04
    0.43703E-01    0.90610E+04
    0.44586E-01    0.88812E+04
    0.45486E-01    0.87100E+04
    0.46405E-01    0.85475E+04
    0.47343E-01    0.83933E+04
    0.48299E-01    0.82474E+04
    0.49275E-01    0.81095E+04
    0.50270E-01    0.79788E+04
    0.51286E-01    0.78549E+04
    0.52322E-01    0.77370E+04
    0.53379E-01    0.76242E+04
    0.54457E-01    0.75157E+04
    0.55557E-01    0.74107E+04
    0.56680E-01    0.73079E+04
    0.57825E-01    0.72063E+04
    0.58993E-01    0.71046E+04
    0.60184E-01    0.70016E+04
    0.61400E-01    0.68962E+04
    0.62641E-01    0.67871E+04
    0.63906E-01    0.66734E+04
    0.65197E-01    0.65538E+04
    0.66514E-01    0.64277E+04
    0.67858E-01    0.62944E+04
    0.69229E-01    0.61533E+04
    0.70627E-01    0.60043E+04
    0.72054E-01    0.58473E+04
    0.73510E-01    0.56829E+04
    0.74994E-01    0.55115E+04
    0.76509E-01    0.53343E+04
    0.78055E-01    0.51524E+04
    0.79632E-01    0.49674E+04
    0.81241E-01    0.47810E+04
    0.82882E-01    0.45950E+04
    0.84556E-01    0.44115E+04
    0.86264E-01    0.42323E+04
    0.88007E-01    0.40595E+04
    0.89785E-01    0.38948E+04
    0.91598E-01    0.37398E+04
    0.93449E-01    0.35958E+04
    0.95337E-01    0.34638E+04
    0.97263E-01    0.33444E+04
    0.99227E-01    0.32378E+04
    0.10123E+00    0.31438E+04
    0.10328E+00    0.30618E+04
    0.10536E+00    0.29906E+04
    0.10749E+00    0.29287E+04
    0.10966E+00    0.28744E+04
    0.11188E+00    0.28253E+04
    0.11414E+00    0.27792E+04
    0.11644E+00    0.27333E+04
    0.11880E+00    0.26853E+04
    0.12120E+00    0.26330E+04
    0.12365E+00    0.25743E+04
    0.12614E+00    0.25080E+04
    0.12869E+00    0.24335E+04
    0.13129E+00    0.23509E+04
    0.13394E+00    0.22613E+04
    0.13665E+00    0.21664E+04
    0.13941E+00    0.20685E+04
    0.14223E+00    0.19703E+04
    0.14510E+00    0.18746E+04
    0.14803E+00    0.17841E+04
    0.15102E+00    0.17011E+04
    0.15407E+00    0.16272E+04
    0.15718E+00    0.15632E+04
    0.16036E+00    0.15093E+04
    0.16360E+00    0.14646E+04
    0.16690E+00    0.14277E+04
    0.17028E+00    0.13964E+04
    0.17371E+00    0.13681E+04
    0.17722E+00    0.13400E+04
    0.18080E+00    0.13096E+04
    0.18446E+00    0.12749E+04
    0.18818E+00    0.12348E+04
    0.19198E+00    0.11892E+04
    0.19586E+00    0.11391E+04
    0.19982E+00    0.10862E+04
    0.20386E+00    0.10332E+04
    0.20797E+00    0.98228E+03
    0.21218E+00    0.93575E+03
    0.21646E+00    0.89500E+03
    0.22083E+00    0.86055E+03
    0.22530E+00    0.83194E+03
    0.22985E+00    0.80785E+03
    0.23449E+00    0.78637E+03
    0.23923E+00    0.76539E+03
    0.24406E+00    0.74304E+03
    0.24899E+00    0.71811E+03
    0.25402E+00    0.69036E+03
    0.25915E+00    0.66046E+03
    0.26439E+00    0.62984E+03
    0.26973E+00    0.60017E+03
    0.27518E+00    0.57294E+03
    0.28074E+00    0.54900E+03
    0.28641E+00    0.52843E+03
    0.29219E+00    0.51051E+03
    0.29810E+00    0.49404E+03
    0.30412E+00    0.47773E+03
    0.31026E+00    0.46060E+03
    0.31653E+00    0.44234E+03
    0.32292E+00    0.42331E+03
    0.32945E+00    0.40435E+03
    0.33610E+00    0.38640E+03
    0.34289E+00    0.37010E+03
    0.34982E+00    0.35555E+03
    0.35689E+00    0.34234E+03
    0.36409E+00    0.32979E+03
    0.37145E+00    0.31726E+03
    0.37895E+00    0.30446E+03
    0.38661E+00    0.29150E+03
    0.39442E+00    0.27882E+03
    0.40239E+00    0.26685E+03
    0.41052E+00    0.25582E+03
    0.41881E+00    0.24561E+03
    0.42727E+00    0.23591E+03
    0.43590E+00    0.22641E+03
    0.44471E+00    0.21698E+03
    0.45369E+00    0.20770E+03
    0.46286E+00    0.19879E+03
    0.47221E+00    0.19039E+03
    0.48174E+00    0.18249E+03
    0.49148E+00    0.17496E+03
    0.50141E+00    0.16766E+03
    0.51153E+00    0.16053E+03
    0.52187E+00    0.15364E+03
    0.53241E+00    0.14705E+03
    0.54317E+00    0.14080E+03
    0.55414E+00    0.13484E+03
    0.56533E+00    0.12909E+03
    0.57675E+00    0.12354E+03
    0.58840E+00    0.11820E+03
    0.60029E+00    0.11309E+03
    0.61242E+00    0.10821E+03
    0.62479E+00    0.10354E+03
    0.63741E+00    0.99047E+02
    0.65029E+00    0.94730E+02
    0.66342E+00    0.90596E+02
    0.67683E+00    0.86641E+02
    0.69050E+00    0.82852E+02
    0.70445E+00    0.79218E+02
    0.71868E+00    0.75734E+02
    0.73320E+00    0.72398E+02
    0.74801E+00    0.69204E+02
    0.76312E+00    0.66144E+02
    0.77854E+00    0.63213E+02
    0.79426E+00    0.60406E+02
    0.81031E+00    0.57719E+02
    0.82668E+00    0.55147E+02
    0.84338E+00    0.52684E+02
    0.86041E+00    0.50327E+02
    0.87780E+00    0.48072E+02
    0.89553E+00    0.45913E+02
    0.91362E+00    0.43848E+02
    0.93208E+00    0.41873E+02
    0.95091E+00    0.39983E+02
    0.97011E+00    0.38175E+02
    0.98971E+00    0.36446E+02
    0.10097E+01    0.34793E+02
    0.10301E+01    0.33211E+02
    0.10509E+01    0.31699E+02
    0.10721E+01    0.30254E+02
    0.10938E+01    0.28872E+02
    0.11159E+01    0.27551E+02
    0.11384E+01    0.26289E+02
    0.11614E+01    0.25082E+02
    0.11849E+01    0.23930E+02
    0.12088E+01    0.22829E+02
    0.12333E+01    0.21776E+02
    0.12582E+01    0.20770E+02
    0.12836E+01    0.19810E+02
    0.13095E+01    0.18892E+02
    0.13360E+01    0.18016E+02
    0.13630E+01    0.17179E+02
    0.13905E+01    0.16380E+02
    0.14186E+01    0.15617E+02
    0.14472E+01    0.14889E+02
    0.14765E+01    0.14193E+02
    0.15063E+01    0.13529E+02
    0.15367E+01    0.12896E+02
    0.15678E+01    0.12291E+02
    0.15994E+01    0.11713E+02
    0.16318E+01    0.11163E+02
    0.16647E+01    0.10637E+02
    0.16984E+01    0.10135E+02
    0.17327E+01    0.96568E+01
    0.17677E+01    0.92003E+01
    0.18034E+01    0.87649E+01
    0.18398E+01    0.83494E+01
    0.18770E+01    0.79533E+01
    0.19149E+01    0.75754E+01
    0.19536E+01    0.72151E+01
    0.19930E+01    0.68713E+01
    0.20333E+01    0.65441E+01
    0.20744E+01    0.62316E+01
    0.21163E+01    0.59335E+01
    0.21590E+01    0.56498E+01
    0.22026E+01    0.53793E+01
    0.22471E+01    0.51210E+01
    0.22925E+01    0.48753E+01
    0.23388E+01    0.46411E+01
    0.23861E+01    0.44176E+01
    0.24343E+01    0.42048E+01
    0.24835E+01    0.40022E+01
    0.25336E+01    0.38089E+01
    0.25848E+01    0.36249E+01
    0.26370E+01    0.34496E+01
    0.26903E+01    0.32824E+01
    0.27447E+01    0.31234E+01
    0.28001E+01    0.29718E+01
    0.28567E+01    0.28274E+01
    0.29144E+01    0.26900E+01
    0.29733E+01    0.25590E+01
    0.30333E+01    0.24344E+01
    0.30946E+01    0.23157E+01
    0.31571E+01    0.22026E+01
    0.32209E+01    0.20950E+01
    0.32860E+01    0.19925E+01
    0.33523E+01    0.18950E+01
    0.34201E+01    0.18021E+01
    0.34892E+01    0.17138E+01
    0.35596E+01    0.16296E+01
    0.36316E+01    0.15496E+01
    0.37049E+01    0.14734E+01
    0.37798E+01    0.14009E+01
    0.38561E+01    0.13318E+01
    0.39340E+01    0.12662E+01
    0.40135E+01    0.12037E+01
    0.40946E+01    0.11442E+01
    0.41773E+01    0.10877E+01
    0.42617E+01    0.10338E+01
    0.43478E+01    0.98267E+00
    0.44356E+01    0.93396E+00
    0.45252E+01    0.88764E+00
    0.46166E+01    0.84357E+00
    0.47099E+01    0.80166E+00
    0.48050E+01    0.76181E+00
    0.49021E+01    0.72389E+00
    0.50011E+01    0.68785E+00
    0.51021E+01    0.65356E+00
    0.52052E+01    0.62097E+00
    0.53104E+01    0.58997E+00
    0.54176E+01    0.56049E+00
    0.55271E+01    0.53248E+00
    0.56387E+01    0.50584E+00
    0.57526E+01    0.48051E+00
    0.58689E+01    0.45643E+00
    0.59874E+01    0.43354E+00
    0.61084E+01    0.41180E+00
    0.62318E+01    0.39111E+00
    0.63577E+01    0.37147E+00
    0.64861E+01    0.35278E+00
    0.66171E+01    0.33503E+00
    0.67508E+01    0.31816E+00
    0.68872E+01    0.30213E+00
    0.70263E+01    0.28689E+00
    0.71682E+01    0.27241E+00
    0.73130E+01    0.25866E+00
    0.74608E+01    0.24559E+00
    0.76115E+01    0.23317E+00
    0.77653E+01    0.22138E+00
    0.79221E+01    0.21017E+00
    0.80822E+01    0.19952E+00
    0.82454E+01    0.18940E+00
    0.84120E+01    0.17979E+00
    0.85819E+01    0.17067E+00
    0.87553E+01    0.16200E+00
    0.89322E+01    0.15377E+00
    0.91126E+01    0.14595E+00
    0.92967E+01    0.13852E+00
    0.94845E+01    0.13147E+00
    0.96761E+01    0.12477E+00
    0.98716E+01    0.11841E+00
    0.10071E+02    0.11237E+00
    0.10274E+02    0.10663E+00
    0.10482E+02    0.10119E+00
    0.10694E+02    0.96017E-01
    0.10910E+02    0.91107E-01
    0.11130E+02    0.86446E-01
    0.11355E+02    0.82021E-01
    0.11584E+02    0.77820E-01
    0.11818E+02    0.73832E-01
    0.12057E+02    0.70046E-01
    0.12301E+02    0.66452E-01
    0.12549E+02    0.63041E-01
    0.12803E+02    0.59803E-01
    0.13061E+02    0.56730E-01
    0.13325E+02    0.53813E-01
    0.13594E+02    0.51044E-01
    0.13869E+02    0.48417E-01
    0.14149E+02    0.45924E-01
    0.14435E+02    0.43557E-01
    0.14727E+02    0.41312E-01
    0.15024E+02    0.39180E-01
    0.15328E+02    0.37158E-01
    0.15637E+02    0.35240E-01
    0.15953E+02    0.33419E-01
    0.16275E+02    0.31692E-01
    0.16604E+02    0.30053E-01
    0.16940E+02    0.28498E-01
    0.17282E+02    0.27023E-01
    0.17631E+02    0.25623E-01
    0.17987E+02    0.24295E-01
    0.18351E+02    0.23036E-01
    0.18721E+02    0.21841E-01
    0.19099E+02    0.20707E-01
    0.19485E+02    0.19632E-01
    0.19879E+02    0.18613E-01
    0.20280E+02    0.17645E-01
    0.20690E+02    0.16728E-01
    0.21108E+02    0.15858E-01
    0.21535E+02    0.15032E-01
    0.21970E+02    0.14250E-01
