#           k/h    P           
    0.10000E-03    0.17434E+03
    0.10202E-03    0.17776E+03
    0.10408E-03    0.18125E+03
    0.10618E-03    0.18481E+03
    0.10833E-03    0.18843E+03
    0.11052E-03    0.19213E+03
    0.11275E-03    0.19590E+03
    0.11503E-03    0.19974E+03
    0.11735E-03    0.20366E+03
    0.11972E-03    0.20766E+03
    0.12214E-03    0.21173E+03
    0.12461E-03    0.21588E+03
    0.12712E-03    0.22012E+03
    0.12969E-03    0.22444E+03
    0.13231E-03    0.22884E+03
    0.13499E-03    0.23333E+03
    0.13771E-03    0.23791E+03
    0.14049E-03    0.24257E+03
    0.14333E-03    0.24733E+03
    0.14623E-03    0.25218E+03
    0.14918E-03    0.25713E+03
    0.15220E-03    0.26217E+03
    0.15527E-03    0.26731E+03
    0.15841E-03    0.27255E+03
    0.16161E-03    0.27790E+03
    0.16487E-03    0.28334E+03
    0.16820E-03    0.28890E+03
    0.17160E-03    0.29456E+03
    0.17507E-03    0.30034E+03
    0.17860E-03    0.30623E+03
    0.18221E-03    0.31223E+03
    0.18589E-03    0.31835E+03
    0.18965E-03    0.32459E+03
    0.19348E-03    0.33095E+03
    0.19739E-03    0.33744E+03
    0.20138E-03    0.34405E+03
    0.20544E-03    0.35079E+03
    0.20959E-03    0.35767E+03
    0.21383E-03    0.36467E+03
    0.21815E-03    0.37182E+03
    0.22255E-03    0.37910E+03
    0.22705E-03    0.38653E+03
    0.23164E-03    0.39410E+03
    0.23632E-03    0.40182E+03
    0.24109E-03    0.40969E+03
    0.24596E-03    0.41771E+03
    0.25093E-03    0.42589E+03
    0.25600E-03    0.43422E+03
    0.26117E-03    0.44272E+03
    0.26645E-03    0.45139E+03
    0.27183E-03    0.46022E+03
    0.27732E-03    0.46923E+03
    0.28292E-03    0.47841E+03
    0.28864E-03    0.48777E+03
    0.29447E-03    0.49731E+03
    0.30042E-03    0.50704E+03
    0.30649E-03    0.51695E+03
    0.31268E-03    0.52706E+03
    0.31899E-03    0.53736E+03
    0.32544E-03    0.54786E+03
    0.33201E-03    0.55857E+03
    0.33872E-03    0.56948E+03
    0.34556E-03    0.58061E+03
    0.35254E-03    0.59195E+03
    0.35966E-03    0.60351E+03
    0.36693E-03    0.61529E+03
    0.37434E-03    0.62730E+03
    0.38190E-03    0.63954E+03
    0.38962E-03    0.65202E+03
    0.39749E-03    0.66473E+03
    0.40552E-03    0.67770E+03
    0.41371E-03    0.69091E+03
    0.42207E-03    0.70437E+03
    0.43060E-03    0.71810E+03
    0.43929E-03    0.73209E+03
    0.44817E-03    0.74634E+03
    0.45722E-03    0.76087E+03
    0.46646E-03    0.77568E+03
    0.47588E-03    0.79077E+03
    0.48550E-03    0.80615E+03
    0.49530E-03    0.82182E+03
    0.50531E-03    0.83779E+03
    0.51552E-03    0.85406E+03
    0.52593E-03    0.87065E+03
    0.53656E-03    0.88755E+03
    0.54739E-03    0.90477E+03
    0.55845E-03    0.92231E+03
    0.56973E-03    0.94019E+03
    0.58124E-03    0.95841E+03
    0.59299E-03    0.97697E+03
    0.60496E-03    0.99588E+03
    0.61719E-03    0.10151E+04
    0.62965E-03    0.10348E+04
    0.64237E-03    0.10548E+04
    0.65535E-03    0.10751E+04
    0.66859E-03    0.10959E+04
    0.68210E-03    0.11170E+04
    0.69588E-03    0.11386E+04
    0.70993E-03    0.11605E+04
    0.72427E-03    0.11828E+04
    0.73891E-03    0.12056E+04
    0.75383E-03    0.12288E+04
    0.76906E-03    0.12524E+04
    0.78460E-03    0.12764E+04
    0.80045E-03    0.13009E+04
    0.81662E-03    0.13258E+04
    0.83311E-03    0.13512E+04
    0.84994E-03    0.13770E+04
    0.86711E-03    0.14033E+04
    0.88463E-03    0.14301E+04
    0.90250E-03    0.14574E+04
    0.92073E-03    0.14852E+04
    0.93933E-03    0.15135E+04
    0.95831E-03    0.15422E+04
    0.97767E-03    0.15715E+04
    0.99742E-03    0.16013E+04
    0.10176E-02    0.16317E+04
    0.10381E-02    0.16626E+04
    0.10591E-02    0.16940E+04
    0.10805E-02    0.17260E+04
    0.11023E-02    0.17585E+04
    0.11246E-02    0.17916E+04
    0.11473E-02    0.18253E+04
    0.11705E-02    0.18596E+04
    0.11941E-02    0.18944E+04
    0.12182E-02    0.19299E+04
    0.12429E-02    0.19659E+04
    0.12680E-02    0.20026E+04
