#           k/h    P           
    0.10000E-03    0.45949E+03
    0.10202E-03    0.46851E+03
    0.10408E-03    0.47770E+03
    0.10618E-03    0.48707E+03
    0.10833E-03    0.49663E+03
    0.11052E-03    0.50637E+03
    0.11275E-03    0.51631E+03
    0.11503E-03    0.52644E+03
    0.11735E-03    0.53676E+03
    0.11972E-03    0.54729E+03
    0.12214E-03    0.55803E+03
    0.12461E-03    0.56898E+03
    0.12712E-03    0.58014E+03
    0.12969E-03    0.59152E+03
    0.13231E-03    0.60312E+03
    0.13499E-03    0.61495E+03
    0.13771E-03    0.62701E+03
    0.14049E-03    0.63931E+03
    0.14333E-03    0.65185E+03
    0.14623E-03    0.66463E+03
    0.14918E-03    0.67766E+03
    0.15220E-03    0.69095E+03
    0.15527E-03    0.70450E+03
    0.15841E-03    0.71831E+03
    0.16161E-03    0.73240E+03
    0.16487E-03    0.74676E+03
    0.16820E-03    0.76140E+03
    0.17160E-03    0.77632E+03
    0.17507E-03    0.79154E+03
    0.17860E-03    0.80706E+03
    0.18221E-03    0.82288E+03
    0.18589E-03    0.83901E+03
    0.18965E-03    0.85545E+03
    0.19348E-03    0.87221E+03
    0.19739E-03    0.88931E+03
    0.20138E-03    0.90673E+03
    0.20544E-03    0.92450E+03
    0.20959E-03    0.94261E+03
    0.21383E-03    0.96107E+03
    0.21815E-03    0.97990E+03
    0.22255E-03    0.99909E+03
    0.22705E-03    0.10187E+04
    0.23164E-03    0.10386E+04
    0.23632E-03    0.10589E+04
    0.24109E-03    0.10797E+04
    0.24596E-03    0.11008E+04
    0.25093E-03    0.11224E+04
    0.25600E-03    0.11443E+04
    0.26117E-03    0.11667E+04
    0.26645E-03    0.11896E+04
    0.27183E-03    0.12128E+04
    0.27732E-03    0.12366E+04
    0.28292E-03    0.12608E+04
    0.28864E-03    0.12854E+04
    0.29447E-03    0.13105E+04
    0.30042E-03    0.13362E+04
    0.30649E-03    0.13623E+04
    0.31268E-03    0.13889E+04
    0.31899E-03    0.14161E+04
    0.32544E-03    0.14437E+04
    0.33201E-03    0.14719E+04
    0.33872E-03    0.15007E+04
    0.34556E-03    0.15300E+04
    0.35254E-03    0.15599E+04
    0.35966E-03    0.15903E+04
    0.36693E-03    0.16213E+04
    0.37434E-03    0.16530E+04
    0.38190E-03    0.16852E+04
    0.38962E-03    0.17181E+04
    0.39749E-03    0.17516E+04
    0.40552E-03    0.17857E+04
    0.41371E-03    0.18205E+04
    0.42207E-03    0.18560E+04
    0.43060E-03    0.18922E+04
    0.43929E-03    0.19290E+04
    0.44817E-03    0.19665E+04
    0.45722E-03    0.20048E+04
    0.46646E-03    0.20438E+04
    0.47588E-03    0.20835E+04
    0.48550E-03    0.21240E+04
    0.49530E-03    0.21653E+04
    0.50531E-03    0.22074E+04
    0.51552E-03    0.22502E+04
    0.52593E-03    0.22939E+04
    0.53656E-03    0.23384E+04
    0.54739E-03    0.23838E+04
    0.55845E-03    0.24300E+04
    0.56973E-03    0.24770E+04
    0.58124E-03    0.25250E+04
    0.59299E-03    0.25739E+04
    0.60496E-03    0.26237E+04
    0.61719E-03    0.26744E+04
    0.62965E-03    0.27261E+04
    0.64237E-03    0.27787E+04
    0.65535E-03    0.28323E+04
    0.66859E-03    0.28870E+04
    0.68210E-03    0.29426E+04
    0.69588E-03    0.29993E+04
    0.70993E-03    0.30571E+04
    0.72427E-03    0.31159E+04
    0.73891E-03    0.31758E+04
    0.75383E-03    0.32368E+04
    0.76906E-03    0.32990E+04
    0.78460E-03    0.33622E+04
    0.80045E-03    0.34267E+04
    0.81662E-03    0.34923E+04
    0.83311E-03    0.35591E+04
    0.84994E-03    0.36272E+04
    0.86711E-03    0.36965E+04
    0.88463E-03    0.37670E+04
    0.90250E-03    0.38388E+04
    0.92073E-03    0.39120E+04
    0.93933E-03    0.39864E+04
    0.95831E-03    0.40621E+04
    0.97767E-03    0.41393E+04
    0.99742E-03    0.42178E+04
    0.10176E-02    0.42977E+04
    0.10381E-02    0.43790E+04
    0.10591E-02    0.44617E+04
    0.10805E-02    0.45459E+04
    0.11023E-02    0.46316E+04
    0.11246E-02    0.47188E+04
    0.11473E-02    0.48074E+04
    0.11705E-02    0.48977E+04
    0.11941E-02    0.49894E+04
    0.12182E-02    0.50828E+04
    0.12429E-02    0.51777E+04
    0.12680E-02    0.52743E+04
    0.12936E-02    0.53725E+04
    0.13197E-02    0.54724E+04
    0.13464E-02    0.55739E+04
    0.13736E-02    0.56771E+04
    0.14013E-02    0.57820E+04
    0.14296E-02    0.58886E+04
    0.14585E-02    0.59970E+04
    0.14880E-02    0.61072E+04
    0.15180E-02    0.62191E+04
    0.15487E-02    0.63328E+04
    0.15800E-02    0.64484E+04
    0.16119E-02    0.65657E+04
    0.16445E-02    0.66849E+04
    0.16777E-02    0.68060E+04
    0.17116E-02    0.69290E+04
    0.17462E-02    0.70538E+04
    0.17814E-02    0.71805E+04
    0.18174E-02    0.73091E+04
    0.18541E-02    0.74396E+04
    0.18916E-02    0.75721E+04
    0.19298E-02    0.77065E+04
    0.19688E-02    0.78428E+04
    0.20086E-02    0.79810E+04
    0.20491E-02    0.81213E+04
    0.20905E-02    0.82634E+04
