#           k/h    P           
    0.10000E-03    0.47823E+03
    0.10202E-03    0.48761E+03
    0.10408E-03    0.49718E+03
    0.10618E-03    0.50693E+03
    0.10833E-03    0.51688E+03
    0.11052E-03    0.52702E+03
    0.11275E-03    0.53736E+03
    0.11503E-03    0.54790E+03
    0.11735E-03    0.55865E+03
    0.11972E-03    0.56961E+03
    0.12214E-03    0.58078E+03
    0.12461E-03    0.59218E+03
    0.12712E-03    0.60379E+03
    0.12969E-03    0.61564E+03
    0.13231E-03    0.62771E+03
    0.13499E-03    0.64002E+03
    0.13771E-03    0.65258E+03
    0.14049E-03    0.66538E+03
    0.14333E-03    0.67842E+03
    0.14623E-03    0.69173E+03
    0.14918E-03    0.70529E+03
    0.15220E-03    0.71912E+03
    0.15527E-03    0.73323E+03
    0.15841E-03    0.74760E+03
    0.16161E-03    0.76226E+03
    0.16487E-03    0.77721E+03
    0.16820E-03    0.79244E+03
    0.17160E-03    0.80798E+03
    0.17507E-03    0.82382E+03
    0.17860E-03    0.83997E+03
    0.18221E-03    0.85643E+03
    0.18589E-03    0.87321E+03
    0.18965E-03    0.89033E+03
    0.19348E-03    0.90778E+03
    0.19739E-03    0.92556E+03
    0.20138E-03    0.94370E+03
    0.20544E-03    0.96219E+03
    0.20959E-03    0.98104E+03
    0.21383E-03    0.10003E+04
    0.21815E-03    0.10199E+04
    0.22255E-03    0.10398E+04
    0.22705E-03    0.10602E+04
    0.23164E-03    0.10810E+04
    0.23632E-03    0.11021E+04
    0.24109E-03    0.11237E+04
    0.24596E-03    0.11457E+04
    0.25093E-03    0.11681E+04
    0.25600E-03    0.11910E+04
    0.26117E-03    0.12143E+04
    0.26645E-03    0.12381E+04
    0.27183E-03    0.12623E+04
    0.27732E-03    0.12870E+04
    0.28292E-03    0.13122E+04
    0.28864E-03    0.13378E+04
    0.29447E-03    0.13640E+04
    0.30042E-03    0.13906E+04
    0.30649E-03    0.14178E+04
    0.31268E-03    0.14455E+04
    0.31899E-03    0.14738E+04
    0.32544E-03    0.15026E+04
    0.33201E-03    0.15319E+04
    0.33872E-03    0.15619E+04
    0.34556E-03    0.15924E+04
    0.35254E-03    0.16235E+04
    0.35966E-03    0.16551E+04
    0.36693E-03    0.16874E+04
    0.37434E-03    0.17204E+04
    0.38190E-03    0.17539E+04
    0.38962E-03    0.17881E+04
    0.39749E-03    0.18230E+04
    0.40552E-03    0.18585E+04
    0.41371E-03    0.18948E+04
    0.42207E-03    0.19317E+04
    0.43060E-03    0.19693E+04
    0.43929E-03    0.20076E+04
    0.44817E-03    0.20467E+04
    0.45722E-03    0.20865E+04
    0.46646E-03    0.21271E+04
    0.47588E-03    0.21685E+04
    0.48550E-03    0.22106E+04
    0.49530E-03    0.22536E+04
    0.50531E-03    0.22974E+04
    0.51552E-03    0.23420E+04
    0.52593E-03    0.23874E+04
    0.53656E-03    0.24337E+04
    0.54739E-03    0.24809E+04
    0.55845E-03    0.25290E+04
    0.56973E-03    0.25780E+04
    0.58124E-03    0.26279E+04
    0.59299E-03    0.26788E+04
    0.60496E-03    0.27306E+04
    0.61719E-03    0.27834E+04
    0.62965E-03    0.28372E+04
    0.64237E-03    0.28920E+04
    0.65535E-03    0.29478E+04
    0.66859E-03    0.30047E+04
    0.68210E-03    0.30626E+04
    0.69588E-03    0.31216E+04
    0.70993E-03    0.31817E+04
    0.72427E-03    0.32429E+04
    0.73891E-03    0.33052E+04
