#           k/h    P           
    0.10000E-03    0.18798E+03
    0.10202E-03    0.19167E+03
    0.10408E-03    0.19543E+03
    0.10618E-03    0.19927E+03
    0.10833E-03    0.20318E+03
    0.11052E-03    0.20716E+03
    0.11275E-03    0.21123E+03
    0.11503E-03    0.21537E+03
    0.11735E-03    0.21960E+03
    0.11972E-03    0.22390E+03
    0.12214E-03    0.22830E+03
    0.12461E-03    0.23278E+03
    0.12712E-03    0.23734E+03
    0.12969E-03    0.24200E+03
    0.13231E-03    0.24675E+03
    0.13499E-03    0.25158E+03
    0.13771E-03    0.25652E+03
    0.14049E-03    0.26155E+03
    0.14333E-03    0.26668E+03
    0.14623E-03    0.27191E+03
    0.14918E-03    0.27724E+03
    0.15220E-03    0.28268E+03
    0.15527E-03    0.28822E+03
    0.15841E-03    0.29388E+03
    0.16161E-03    0.29964E+03
    0.16487E-03    0.30551E+03
    0.16820E-03    0.31150E+03
    0.17160E-03    0.31761E+03
    0.17507E-03    0.32384E+03
    0.17860E-03    0.33019E+03
    0.18221E-03    0.33666E+03
    0.18589E-03    0.34326E+03
    0.18965E-03    0.34999E+03
    0.19348E-03    0.35685E+03
    0.19739E-03    0.36384E+03
    0.20138E-03    0.37097E+03
    0.20544E-03    0.37824E+03
    0.20959E-03    0.38565E+03
    0.21383E-03    0.39321E+03
    0.21815E-03    0.40091E+03
    0.22255E-03    0.40876E+03
    0.22705E-03    0.41677E+03
    0.23164E-03    0.42493E+03
    0.23632E-03    0.43325E+03
    0.24109E-03    0.44174E+03
    0.24596E-03    0.45039E+03
    0.25093E-03    0.45921E+03
    0.25600E-03    0.46820E+03
    0.26117E-03    0.47736E+03
    0.26645E-03    0.48670E+03
    0.27183E-03    0.49623E+03
    0.27732E-03    0.50594E+03
    0.28292E-03    0.51584E+03
    0.28864E-03    0.52593E+03
    0.29447E-03    0.53622E+03
    0.30042E-03    0.54670E+03
    0.30649E-03    0.55739E+03
    0.31268E-03    0.56829E+03
    0.31899E-03    0.57940E+03
    0.32544E-03    0.59072E+03
    0.33201E-03    0.60227E+03
    0.33872E-03    0.61403E+03
    0.34556E-03    0.62603E+03
    0.35254E-03    0.63825E+03
    0.35966E-03    0.65072E+03
    0.36693E-03    0.66342E+03
    0.37434E-03    0.67637E+03
    0.38190E-03    0.68957E+03
    0.38962E-03    0.70302E+03
    0.39749E-03    0.71673E+03
    0.40552E-03    0.73071E+03
    0.41371E-03    0.74495E+03
    0.42207E-03    0.75947E+03
    0.43060E-03    0.77427E+03
    0.43929E-03    0.78935E+03
    0.44817E-03    0.80472E+03
    0.45722E-03    0.82039E+03
    0.46646E-03    0.83635E+03
    0.47588E-03    0.85262E+03
    0.48550E-03    0.86920E+03
    0.49530E-03    0.88610E+03
    0.50531E-03    0.90332E+03
    0.51552E-03    0.92086E+03
    0.52593E-03    0.93874E+03
    0.53656E-03    0.95696E+03
    0.54739E-03    0.97553E+03
    0.55845E-03    0.99445E+03
    0.56973E-03    0.10137E+04
    0.58124E-03    0.10334E+04
    0.59299E-03    0.10534E+04
    0.60496E-03    0.10738E+04
    0.61719E-03    0.10945E+04
    0.62965E-03    0.11157E+04
    0.64237E-03    0.11373E+04
    0.65535E-03    0.11592E+04
    0.66859E-03    0.11816E+04
    0.68210E-03    0.12044E+04
    0.69588E-03    0.12276E+04
    0.70993E-03    0.12512E+04
    0.72427E-03    0.12753E+04
    0.73891E-03    0.12999E+04
    0.75383E-03    0.13248E+04
    0.76906E-03    0.13503E+04
    0.78460E-03    0.13762E+04
    0.80045E-03    0.14026E+04
    0.81662E-03    0.14295E+04
    0.83311E-03    0.14568E+04
    0.84994E-03    0.14847E+04
    0.86711E-03    0.15131E+04
    0.88463E-03    0.15419E+04
    0.90250E-03    0.15714E+04
    0.92073E-03    0.16013E+04
    0.93933E-03    0.16318E+04
    0.95831E-03    0.16628E+04
    0.97767E-03    0.16944E+04
    0.99742E-03    0.17265E+04
    0.10176E-02    0.17592E+04
    0.10381E-02    0.17925E+04
    0.10591E-02    0.18264E+04
    0.10805E-02    0.18609E+04
    0.11023E-02    0.18960E+04
    0.11246E-02    0.19317E+04
    0.11473E-02    0.19680E+04
    0.11705E-02    0.20049E+04
    0.11941E-02    0.20425E+04
    0.12182E-02    0.20807E+04
    0.12429E-02    0.21196E+04
    0.12680E-02    0.21591E+04
    0.12936E-02    0.21994E+04
    0.13197E-02    0.22402E+04
    0.13464E-02    0.22818E+04
    0.13736E-02    0.23241E+04
    0.14013E-02    0.23670E+04
    0.14296E-02    0.24107E+04
    0.14585E-02    0.24551E+04
    0.14880E-02    0.25002E+04
    0.15180E-02    0.25460E+04
    0.15487E-02    0.25926E+04
    0.15800E-02    0.26399E+04
    0.16119E-02    0.26880E+04
    0.16445E-02    0.27368E+04
    0.16777E-02    0.27863E+04
    0.17116E-02    0.28367E+04
    0.17462E-02    0.28878E+04
    0.17814E-02    0.29397E+04
    0.18174E-02    0.29924E+04
    0.18541E-02    0.30458E+04
    0.18916E-02    0.31000E+04
    0.19298E-02    0.31551E+04
    0.19688E-02    0.32109E+04
    0.20086E-02    0.32675E+04
    0.20491E-02    0.33249E+04
    0.20905E-02    0.33832E+04
    0.21328E-02    0.34422E+04
    0.21758E-02    0.35020E+04
    0.22198E-02    0.35626E+04
    0.22646E-02    0.36241E+04
    0.23104E-02    0.36863E+04
    0.23571E-02    0.37493E+04
    0.24047E-02    0.38131E+04
    0.24533E-02    0.38778E+04
    0.25028E-02    0.39432E+04
    0.25534E-02    0.40094E+04
    0.26050E-02    0.40763E+04
