#           k/h    P           
    0.10000E-03    0.48301E+03
    0.10202E-03    0.49249E+03
    0.10408E-03    0.50215E+03
    0.10618E-03    0.51201E+03
    0.10833E-03    0.52205E+03
    0.11052E-03    0.53229E+03
    0.11275E-03    0.54274E+03
    0.11503E-03    0.55339E+03
    0.11735E-03    0.56424E+03
    0.11972E-03    0.57531E+03
    0.12214E-03    0.58660E+03
    0.12461E-03    0.59810E+03
    0.12712E-03    0.60983E+03
    0.12969E-03    0.62180E+03
    0.13231E-03    0.63399E+03
    0.13499E-03    0.64643E+03
    0.13771E-03    0.65911E+03
    0.14049E-03    0.67203E+03
    0.14333E-03    0.68521E+03
    0.14623E-03    0.69865E+03
    0.14918E-03    0.71235E+03
    0.15220E-03    0.72632E+03
    0.15527E-03    0.74056E+03
    0.15841E-03    0.75508E+03
    0.16161E-03    0.76989E+03
    0.16487E-03    0.78498E+03
    0.16820E-03    0.80037E+03
    0.17160E-03    0.81606E+03
    0.17507E-03    0.83206E+03
    0.17860E-03    0.84837E+03
    0.18221E-03    0.86500E+03
    0.18589E-03    0.88195E+03
    0.18965E-03    0.89924E+03
    0.19348E-03    0.91686E+03
    0.19739E-03    0.93483E+03
    0.20138E-03    0.95314E+03
    0.20544E-03    0.97182E+03
    0.20959E-03    0.99086E+03
    0.21383E-03    0.10103E+04
    0.21815E-03    0.10301E+04
    0.22255E-03    0.10502E+04
    0.22705E-03    0.10708E+04
    0.23164E-03    0.10918E+04
    0.23632E-03    0.11131E+04
    0.24109E-03    0.11349E+04
    0.24596E-03    0.11572E+04
    0.25093E-03    0.11798E+04
    0.25600E-03    0.12029E+04
    0.26117E-03    0.12264E+04
    0.26645E-03    0.12504E+04
    0.27183E-03    0.12749E+04
    0.27732E-03    0.12999E+04
    0.28292E-03    0.13253E+04
    0.28864E-03    0.13512E+04
    0.29447E-03    0.13776E+04
    0.30042E-03    0.14046E+04
    0.30649E-03    0.14320E+04
    0.31268E-03    0.14600E+04
    0.31899E-03    0.14885E+04
    0.32544E-03    0.15176E+04
    0.33201E-03    0.15473E+04
    0.33872E-03    0.15775E+04
    0.34556E-03    0.16083E+04
    0.35254E-03    0.16397E+04
    0.35966E-03    0.16717E+04
    0.36693E-03    0.17043E+04
    0.37434E-03    0.17376E+04
    0.38190E-03    0.17715E+04
    0.38962E-03    0.18060E+04
    0.39749E-03    0.18412E+04
    0.40552E-03    0.18771E+04
    0.41371E-03    0.19137E+04
    0.42207E-03    0.19510E+04
    0.43060E-03    0.19890E+04
    0.43929E-03    0.20277E+04
    0.44817E-03    0.20672E+04
    0.45722E-03    0.21074E+04
    0.46646E-03    0.21484E+04
    0.47588E-03    0.21902E+04
    0.48550E-03    0.22327E+04
    0.49530E-03    0.22761E+04
    0.50531E-03    0.23203E+04
    0.51552E-03    0.23654E+04
    0.52593E-03    0.24113E+04
    0.53656E-03    0.24581E+04
    0.54739E-03    0.25057E+04
    0.55845E-03    0.25543E+04
    0.56973E-03    0.26038E+04
    0.58124E-03    0.26542E+04
    0.59299E-03    0.27056E+04
    0.60496E-03    0.27579E+04
    0.61719E-03    0.28112E+04
    0.62965E-03    0.28656E+04
    0.64237E-03    0.29209E+04
    0.65535E-03    0.29773E+04
    0.66859E-03    0.30347E+04
    0.68210E-03    0.30932E+04
    0.69588E-03    0.31528E+04
    0.70993E-03    0.32135E+04
    0.72427E-03    0.32753E+04
    0.73891E-03    0.33383E+04
    0.75383E-03    0.34024E+04
    0.76906E-03    0.34678E+04
    0.78460E-03    0.35343E+04
    0.80045E-03    0.36020E+04
    0.81662E-03    0.36710E+04
    0.83311E-03    0.37413E+04
    0.84994E-03    0.38128E+04
    0.86711E-03    0.38856E+04
    0.88463E-03    0.39598E+04
    0.90250E-03    0.40352E+04
    0.92073E-03    0.41121E+04
    0.93933E-03    0.41903E+04
    0.95831E-03    0.42700E+04
    0.97767E-03    0.43511E+04
    0.99742E-03    0.44336E+04
    0.10176E-02    0.45175E+04
    0.10381E-02    0.46030E+04
    0.10591E-02    0.46900E+04
    0.10805E-02    0.47785E+04
    0.11023E-02    0.48686E+04
    0.11246E-02    0.49602E+04
    0.11473E-02    0.50534E+04
    0.11705E-02    0.51482E+04
    0.11941E-02    0.52447E+04
    0.12182E-02    0.53428E+04
    0.12429E-02    0.54426E+04
    0.12680E-02    0.55441E+04
    0.12936E-02    0.56474E+04
    0.13197E-02    0.57523E+04
    0.13464E-02    0.58590E+04
    0.13736E-02    0.59675E+04
    0.14013E-02    0.60778E+04
    0.14296E-02    0.61899E+04
    0.14585E-02    0.63038E+04
    0.14880E-02    0.64196E+04
    0.15180E-02    0.65373E+04
    0.15487E-02    0.66568E+04
    0.15800E-02    0.67783E+04
    0.16119E-02    0.69016E+04
    0.16445E-02    0.70269E+04
    0.16777E-02    0.71542E+04
    0.17116E-02    0.72835E+04
    0.17462E-02    0.74147E+04
    0.17814E-02    0.75478E+04
    0.18174E-02    0.76830E+04
    0.18541E-02    0.78202E+04
    0.18916E-02    0.79595E+04
    0.19298E-02    0.81007E+04
    0.19688E-02    0.82440E+04
    0.20086E-02    0.83893E+04
    0.20491E-02    0.85367E+04
    0.20905E-02    0.86862E+04
    0.21328E-02    0.88377E+04
    0.21758E-02    0.89912E+04
    0.22198E-02    0.91468E+04
    0.22646E-02    0.93045E+04
    0.23104E-02    0.94642E+04
    0.23571E-02    0.96260E+04
    0.24047E-02    0.97898E+04
    0.24533E-02    0.99557E+04
    0.25028E-02    0.10124E+05
    0.25534E-02    0.10293E+05
    0.26050E-02    0.10465E+05
    0.26576E-02    0.10639E+05
    0.27113E-02    0.10815E+05
    0.27660E-02    0.10993E+05
    0.28219E-02    0.11173E+05
    0.28789E-02    0.11354E+05
    0.29371E-02    0.11538E+05
    0.29964E-02    0.11723E+05
    0.30569E-02    0.11910E+05
    0.31187E-02    0.12099E+05
    0.31817E-02    0.12289E+05
    0.32460E-02    0.12482E+05
    0.33115E-02    0.12676E+05
    0.33784E-02    0.12871E+05
    0.34467E-02    0.13069E+05
    0.35163E-02    0.13267E+05
    0.35874E-02    0.13467E+05
    0.36598E-02    0.13669E+05
    0.37338E-02    0.13872E+05
    0.38092E-02    0.14076E+05
    0.38861E-02    0.14281E+05
    0.39646E-02    0.14488E+05
    0.40447E-02    0.14696E+05
    0.41264E-02    0.14904E+05
    0.42098E-02    0.15114E+05
    0.42948E-02    0.15325E+05
    0.43816E-02    0.15536E+05
    0.44701E-02    0.15748E+05
    0.45604E-02    0.15960E+05
    0.46525E-02    0.16174E+05
    0.47465E-02    0.16387E+05
    0.48424E-02    0.16601E+05
    0.49402E-02    0.16815E+05
    0.50400E-02    0.17030E+05
    0.51419E-02    0.17244E+05
    0.52457E-02    0.17458E+05
    0.53517E-02    0.17672E+05
    0.54598E-02    0.17886E+05
    0.55701E-02    0.18100E+05
    0.56826E-02    0.18312E+05
    0.57974E-02    0.18525E+05
    0.59145E-02    0.18736E+05
    0.60340E-02    0.18946E+05
    0.61559E-02    0.19156E+05
    0.62803E-02    0.19364E+05
    0.64072E-02    0.19571E+05
    0.65366E-02    0.19777E+05
    0.66686E-02    0.19980E+05
    0.68033E-02    0.20183E+05
    0.69408E-02    0.20383E+05
    0.70810E-02    0.20581E+05
    0.72240E-02    0.20776E+05
    0.73700E-02    0.20970E+05
    0.75189E-02    0.21161E+05
    0.76708E-02    0.21349E+05
    0.78257E-02    0.21534E+05
    0.79838E-02    0.21715E+05
    0.81451E-02    0.21894E+05
    0.83096E-02    0.22069E+05
    0.84775E-02    0.22240E+05
    0.86488E-02    0.22408E+05
    0.88235E-02    0.22571E+05
    0.90017E-02    0.22730E+05
    0.91836E-02    0.22885E+05
    0.93691E-02    0.23034E+05
    0.95583E-02    0.23179E+05
    0.97514E-02    0.23319E+05
    0.99484E-02    0.23453E+05
    0.10149E-01    0.23581E+05
    0.10354E-01    0.23704E+05
    0.10564E-01    0.23821E+05
    0.10777E-01    0.23931E+05
    0.10995E-01    0.24034E+05
    0.11217E-01    0.24131E+05
    0.11443E-01    0.24221E+05
    0.11675E-01    0.24304E+05
    0.11910E-01    0.24379E+05
    0.12151E-01    0.24446E+05
    0.12397E-01    0.24506E+05
    0.12647E-01    0.24557E+05
    0.12902E-01    0.24600E+05
    0.13163E-01    0.24634E+05
    0.13429E-01    0.24659E+05
    0.13700E-01    0.24675E+05
    0.13977E-01    0.24682E+05
    0.14259E-01    0.24679E+05
    0.14547E-01    0.24667E+05
    0.14841E-01    0.24644E+05
    0.15141E-01    0.24612E+05
    0.15447E-01    0.24569E+05
    0.15759E-01    0.24515E+05
    0.16077E-01    0.24451E+05
    0.16402E-01    0.24376E+05
    0.16734E-01    0.24290E+05
    0.17072E-01    0.24192E+05
    0.17416E-01    0.24084E+05
    0.17768E-01    0.23964E+05
    0.18127E-01    0.23833E+05
    0.18493E-01    0.23690E+05
    0.18867E-01    0.23536E+05
    0.19248E-01    0.23371E+05
    0.19637E-01    0.23194E+05
    0.20034E-01    0.23007E+05
    0.20438E-01    0.22807E+05
    0.20851E-01    0.22597E+05
    0.21272E-01    0.22376E+05
    0.21702E-01    0.22144E+05
    0.22141E-01    0.21902E+05
    0.22588E-01    0.21649E+05
    0.23044E-01    0.21387E+05
    0.23510E-01    0.21115E+05
    0.23985E-01    0.20834E+05
    0.24469E-01    0.20544E+05
    0.24964E-01    0.20245E+05
    0.25468E-01    0.19939E+05
    0.25982E-01    0.19626E+05
    0.26507E-01    0.19306E+05
    0.27043E-01    0.18980E+05
    0.27589E-01    0.18649E+05
    0.28146E-01    0.18314E+05
    0.28715E-01    0.17974E+05
    0.29295E-01    0.17631E+05
    0.29887E-01    0.17286E+05
    0.30490E-01    0.16940E+05
    0.31106E-01    0.16593E+05
    0.31735E-01    0.16246E+05
    0.32376E-01    0.15900E+05
    0.33030E-01    0.15556E+05
    0.33697E-01    0.15215E+05
    0.34378E-01    0.14878E+05
    0.35072E-01    0.14546E+05
    0.35781E-01    0.14218E+05
    0.36504E-01    0.13897E+05
    0.37241E-01    0.13583E+05
    0.37993E-01    0.13276E+05
    0.38761E-01    0.12978E+05
    0.39544E-01    0.12689E+05
    0.40343E-01    0.12409E+05
    0.41158E-01    0.12140E+05
    0.41989E-01    0.11881E+05
    0.42838E-01    0.11632E+05
    0.43703E-01    0.11395E+05
    0.44586E-01    0.11168E+05
    0.45486E-01    0.10953E+05
    0.46405E-01    0.10748E+05
    0.47343E-01    0.10554E+05
    0.48299E-01    0.10370E+05
    0.49275E-01    0.10196E+05
