#           k/h    P           
    0.10000E-03    0.30225E+03
    0.10202E-03    0.30819E+03
    0.10408E-03    0.31423E+03
    0.10618E-03    0.32040E+03
    0.10833E-03    0.32668E+03
    0.11052E-03    0.33309E+03
    0.11275E-03    0.33963E+03
    0.11503E-03    0.34629E+03
    0.11735E-03    0.35309E+03
    0.11972E-03    0.36001E+03
    0.12214E-03    0.36707E+03
    0.12461E-03    0.37428E+03
    0.12712E-03    0.38162E+03
    0.12969E-03    0.38910E+03
    0.13231E-03    0.39673E+03
    0.13499E-03    0.40452E+03
    0.13771E-03    0.41245E+03
    0.14049E-03    0.42054E+03
    0.14333E-03    0.42879E+03
    0.14623E-03    0.43720E+03
    0.14918E-03    0.44577E+03
    0.15220E-03    0.45451E+03
    0.15527E-03    0.46343E+03
    0.15841E-03    0.47251E+03
    0.16161E-03    0.48178E+03
    0.16487E-03    0.49122E+03
    0.16820E-03    0.50085E+03
    0.17160E-03    0.51067E+03
    0.17507E-03    0.52069E+03
    0.17860E-03    0.53089E+03
    0.18221E-03    0.54130E+03
    0.18589E-03    0.55191E+03
    0.18965E-03    0.56273E+03
    0.19348E-03    0.57375E+03
    0.19739E-03    0.58500E+03
    0.20138E-03    0.59646E+03
    0.20544E-03    0.60815E+03
    0.20959E-03    0.62006E+03
    0.21383E-03    0.63221E+03
    0.21815E-03    0.64460E+03
    0.22255E-03    0.65722E+03
    0.22705E-03    0.67009E+03
    0.23164E-03    0.68322E+03
    0.23632E-03    0.69660E+03
    0.24109E-03    0.71024E+03
    0.24596E-03    0.72414E+03
    0.25093E-03    0.73832E+03
    0.25600E-03    0.75277E+03
    0.26117E-03    0.76751E+03
    0.26645E-03    0.78253E+03
    0.27183E-03    0.79784E+03
    0.27732E-03    0.81345E+03
    0.28292E-03    0.82936E+03
    0.28864E-03    0.84558E+03
    0.29447E-03    0.86212E+03
    0.30042E-03    0.87898E+03
    0.30649E-03    0.89616E+03
    0.31268E-03    0.91368E+03
    0.31899E-03    0.93154E+03
    0.32544E-03    0.94974E+03
    0.33201E-03    0.96830E+03
    0.33872E-03    0.98722E+03
    0.34556E-03    0.10065E+04
    0.35254E-03    0.10262E+04
    0.35966E-03    0.10462E+04
    0.36693E-03    0.10666E+04
    0.37434E-03    0.10874E+04
    0.38190E-03    0.11086E+04
    0.38962E-03    0.11303E+04
    0.39749E-03    0.11523E+04
    0.40552E-03    0.11748E+04
    0.41371E-03    0.11977E+04
    0.42207E-03    0.12210E+04
    0.43060E-03    0.12448E+04
    0.43929E-03    0.12690E+04
    0.44817E-03    0.12937E+04
    0.45722E-03    0.13189E+04
    0.46646E-03    0.13446E+04
    0.47588E-03    0.13707E+04
    0.48550E-03    0.13974E+04
    0.49530E-03    0.14245E+04
    0.50531E-03    0.14522E+04
    0.51552E-03    0.14804E+04
    0.52593E-03    0.15091E+04
    0.53656E-03    0.15384E+04
    0.54739E-03    0.15683E+04
    0.55845E-03    0.15987E+04
    0.56973E-03    0.16296E+04
    0.58124E-03    0.16612E+04
    0.59299E-03    0.16934E+04
    0.60496E-03    0.17261E+04
    0.61719E-03    0.17595E+04
    0.62965E-03    0.17935E+04
    0.64237E-03    0.18282E+04
    0.65535E-03    0.18635E+04
    0.66859E-03    0.18994E+04
    0.68210E-03    0.19360E+04
    0.69588E-03    0.19733E+04
    0.70993E-03    0.20113E+04
    0.72427E-03    0.20500E+04
    0.73891E-03    0.20895E+04
    0.75383E-03    0.21296E+04
    0.76906E-03    0.21705E+04
    0.78460E-03    0.22122E+04
    0.80045E-03    0.22546E+04
    0.81662E-03    0.22977E+04
    0.83311E-03    0.23417E+04
    0.84994E-03    0.23865E+04
    0.86711E-03    0.24321E+04
    0.88463E-03    0.24785E+04
    0.90250E-03    0.25258E+04
    0.92073E-03    0.25739E+04
    0.93933E-03    0.26229E+04
    0.95831E-03    0.26727E+04
    0.97767E-03    0.27235E+04
    0.99742E-03    0.27751E+04
    0.10176E-02    0.28277E+04
    0.10381E-02    0.28812E+04
    0.10591E-02    0.29356E+04
    0.10805E-02    0.29911E+04
    0.11023E-02    0.30474E+04
    0.11246E-02    0.31048E+04
    0.11473E-02    0.31632E+04
    0.11705E-02    0.32225E+04
    0.11941E-02    0.32829E+04
    0.12182E-02    0.33443E+04
    0.12429E-02    0.34068E+04
    0.12680E-02    0.34704E+04
    0.12936E-02    0.35350E+04
    0.13197E-02    0.36007E+04
    0.13464E-02    0.36675E+04
    0.13736E-02    0.37354E+04
    0.14013E-02    0.38044E+04
    0.14296E-02    0.38746E+04
    0.14585E-02    0.39459E+04
    0.14880E-02    0.40184E+04
    0.15180E-02    0.40921E+04
    0.15487E-02    0.41669E+04
    0.15800E-02    0.42429E+04
    0.16119E-02    0.43202E+04
    0.16445E-02    0.43986E+04
    0.16777E-02    0.44783E+04
    0.17116E-02    0.45592E+04
    0.17462E-02    0.46413E+04
    0.17814E-02    0.47247E+04
    0.18174E-02    0.48093E+04
    0.18541E-02    0.48952E+04
    0.18916E-02    0.49824E+04
    0.19298E-02    0.50708E+04
    0.19688E-02    0.51605E+04
    0.20086E-02    0.52515E+04
    0.20491E-02    0.53438E+04
    0.20905E-02    0.54373E+04
    0.21328E-02    0.55322E+04
    0.21758E-02    0.56283E+04
    0.22198E-02    0.57257E+04
    0.22646E-02    0.58245E+04
    0.23104E-02    0.59245E+04
    0.23571E-02    0.60257E+04
    0.24047E-02    0.61283E+04
    0.24533E-02    0.62321E+04
    0.25028E-02    0.63372E+04
    0.25534E-02    0.64436E+04
    0.26050E-02    0.65512E+04
    0.26576E-02    0.66601E+04
