#           k/h    P           
    0.10000E-03    0.25695E+03
    0.10202E-03    0.26200E+03
    0.10408E-03    0.26714E+03
    0.10618E-03    0.27238E+03
    0.10833E-03    0.27772E+03
    0.11052E-03    0.28317E+03
    0.11275E-03    0.28873E+03
    0.11503E-03    0.29439E+03
    0.11735E-03    0.30017E+03
    0.11972E-03    0.30606E+03
    0.12214E-03    0.31206E+03
    0.12461E-03    0.31818E+03
    0.12712E-03    0.32442E+03
    0.12969E-03    0.33079E+03
    0.13231E-03    0.33727E+03
    0.13499E-03    0.34389E+03
    0.13771E-03    0.35064E+03
    0.14049E-03    0.35751E+03
    0.14333E-03    0.36452E+03
    0.14623E-03    0.37167E+03
    0.14918E-03    0.37896E+03
    0.15220E-03    0.38639E+03
    0.15527E-03    0.39397E+03
    0.15841E-03    0.40170E+03
    0.16161E-03    0.40957E+03
    0.16487E-03    0.41760E+03
    0.16820E-03    0.42579E+03
    0.17160E-03    0.43414E+03
    0.17507E-03    0.44265E+03
    0.17860E-03    0.45133E+03
    0.18221E-03    0.46017E+03
    0.18589E-03    0.46919E+03
    0.18965E-03    0.47839E+03
    0.19348E-03    0.48777E+03
    0.19739E-03    0.49732E+03
    0.20138E-03    0.50707E+03
    0.20544E-03    0.51701E+03
    0.20959E-03    0.52714E+03
    0.21383E-03    0.53746E+03
    0.21815E-03    0.54799E+03
    0.22255E-03    0.55873E+03
    0.22705E-03    0.56967E+03
    0.23164E-03    0.58083E+03
    0.23632E-03    0.59220E+03
    0.24109E-03    0.60380E+03
    0.24596E-03    0.61562E+03
    0.25093E-03    0.62767E+03
    0.25600E-03    0.63996E+03
    0.26117E-03    0.65249E+03
    0.26645E-03    0.66526E+03
    0.27183E-03    0.67827E+03
    0.27732E-03    0.69154E+03
    0.28292E-03    0.70507E+03
    0.28864E-03    0.71887E+03
    0.29447E-03    0.73292E+03
    0.30042E-03    0.74726E+03
    0.30649E-03    0.76187E+03
    0.31268E-03    0.77676E+03
    0.31899E-03    0.79194E+03
    0.32544E-03    0.80742E+03
    0.33201E-03    0.82320E+03
    0.33872E-03    0.83928E+03
    0.34556E-03    0.85567E+03
    0.35254E-03    0.87238E+03
    0.35966E-03    0.88941E+03
    0.36693E-03    0.90678E+03
    0.37434E-03    0.92447E+03
    0.38190E-03    0.94251E+03
    0.38962E-03    0.96090E+03
    0.39749E-03    0.97964E+03
    0.40552E-03    0.99873E+03
    0.41371E-03    0.10182E+04
    0.42207E-03    0.10380E+04
    0.43060E-03    0.10583E+04
    0.43929E-03    0.10789E+04
    0.44817E-03    0.10999E+04
    0.45722E-03    0.11213E+04
    0.46646E-03    0.11431E+04
