#           k/h    P           
    0.10000E-03    0.35040E+03
    0.10202E-03    0.35728E+03
    0.10408E-03    0.36429E+03
    0.10618E-03    0.37143E+03
    0.10833E-03    0.37872E+03
    0.11052E-03    0.38615E+03
    0.11275E-03    0.39373E+03
    0.11503E-03    0.40145E+03
    0.11735E-03    0.40933E+03
    0.11972E-03    0.41736E+03
    0.12214E-03    0.42554E+03
    0.12461E-03    0.43389E+03
    0.12712E-03    0.44240E+03
    0.12969E-03    0.45108E+03
    0.13231E-03    0.45993E+03
    0.13499E-03    0.46895E+03
    0.13771E-03    0.47815E+03
    0.14049E-03    0.48753E+03
    0.14333E-03    0.49709E+03
    0.14623E-03    0.50684E+03
    0.14918E-03    0.51678E+03
    0.15220E-03    0.52691E+03
    0.15527E-03    0.53724E+03
    0.15841E-03    0.54778E+03
    0.16161E-03    0.55852E+03
    0.16487E-03    0.56947E+03
    0.16820E-03    0.58063E+03
    0.17160E-03    0.59202E+03
    0.17507E-03    0.60362E+03
    0.17860E-03    0.61545E+03
    0.18221E-03    0.62752E+03
    0.18589E-03    0.63982E+03
    0.18965E-03    0.65236E+03
    0.19348E-03    0.66514E+03
    0.19739E-03    0.67818E+03
    0.20138E-03    0.69146E+03
    0.20544E-03    0.70501E+03
    0.20959E-03    0.71883E+03
    0.21383E-03    0.73291E+03
    0.21815E-03    0.74726E+03
    0.22255E-03    0.76190E+03
    0.22705E-03    0.77682E+03
    0.23164E-03    0.79204E+03
    0.23632E-03    0.80755E+03
    0.24109E-03    0.82336E+03
    0.24596E-03    0.83948E+03
    0.25093E-03    0.85591E+03
    0.25600E-03    0.87267E+03
    0.26117E-03    0.88975E+03
    0.26645E-03    0.90716E+03
    0.27183E-03    0.92491E+03
    0.27732E-03    0.94300E+03
    0.28292E-03    0.96145E+03
    0.28864E-03    0.98026E+03
    0.29447E-03    0.99943E+03
    0.30042E-03    0.10190E+04
    0.30649E-03    0.10389E+04
    0.31268E-03    0.10592E+04
    0.31899E-03    0.10799E+04
    0.32544E-03    0.11010E+04
    0.33201E-03    0.11225E+04
    0.33872E-03    0.11444E+04
    0.34556E-03    0.11668E+04
    0.35254E-03    0.11896E+04
    0.35966E-03    0.12128E+04
    0.36693E-03    0.12365E+04
    0.37434E-03    0.12606E+04
    0.38190E-03    0.12852E+04
    0.38962E-03    0.13103E+04
    0.39749E-03    0.13358E+04
    0.40552E-03    0.13618E+04
    0.41371E-03    0.13884E+04
    0.42207E-03    0.14154E+04
    0.43060E-03    0.14430E+04
    0.43929E-03    0.14711E+04
    0.44817E-03    0.14997E+04
    0.45722E-03    0.15289E+04
    0.46646E-03    0.15587E+04
    0.47588E-03    0.15890E+04
    0.48550E-03    0.16199E+04
    0.49530E-03    0.16514E+04
    0.50531E-03    0.16834E+04
    0.51552E-03    0.17161E+04
    0.52593E-03    0.17494E+04
    0.53656E-03    0.17834E+04
    0.54739E-03    0.18180E+04
    0.55845E-03    0.18532E+04
    0.56973E-03    0.18891E+04
    0.58124E-03    0.19257E+04
    0.59299E-03    0.19630E+04
    0.60496E-03    0.20010E+04
    0.61719E-03    0.20396E+04
    0.62965E-03    0.20791E+04
    0.64237E-03    0.21192E+04
    0.65535E-03    0.21601E+04
    0.66859E-03    0.22018E+04
    0.68210E-03    0.22443E+04
    0.69588E-03    0.22875E+04
    0.70993E-03    0.23316E+04
    0.72427E-03    0.23764E+04
    0.73891E-03    0.24221E+04
    0.75383E-03    0.24687E+04
    0.76906E-03    0.25160E+04
    0.78460E-03    0.25643E+04
    0.80045E-03    0.26135E+04
    0.81662E-03    0.26635E+04
    0.83311E-03    0.27145E+04
    0.84994E-03    0.27664E+04
    0.86711E-03    0.28193E+04
    0.88463E-03    0.28731E+04
    0.90250E-03    0.29278E+04
    0.92073E-03    0.29836E+04
    0.93933E-03    0.30404E+04
    0.95831E-03    0.30982E+04
    0.97767E-03    0.31570E+04
    0.99742E-03    0.32169E+04
    0.10176E-02    0.32778E+04
    0.10381E-02    0.33398E+04
    0.10591E-02    0.34029E+04
    0.10805E-02    0.34672E+04
    0.11023E-02    0.35325E+04
    0.11246E-02    0.35990E+04
    0.11473E-02    0.36666E+04
    0.11705E-02    0.37355E+04
    0.11941E-02    0.38055E+04
    0.12182E-02    0.38767E+04
    0.12429E-02    0.39491E+04
    0.12680E-02    0.40227E+04
    0.12936E-02    0.40976E+04
    0.13197E-02    0.41738E+04
    0.13464E-02    0.42512E+04
    0.13736E-02    0.43300E+04
    0.14013E-02    0.44100E+04
    0.14296E-02    0.44913E+04
    0.14585E-02    0.45740E+04
    0.14880E-02    0.46580E+04
    0.15180E-02    0.47434E+04
    0.15487E-02    0.48301E+04
    0.15800E-02    0.49183E+04
    0.16119E-02    0.50078E+04
    0.16445E-02    0.50987E+04
    0.16777E-02    0.51910E+04
    0.17116E-02    0.52849E+04
    0.17462E-02    0.53801E+04
    0.17814E-02    0.54767E+04
    0.18174E-02    0.55748E+04
    0.18541E-02    0.56744E+04
    0.18916E-02    0.57754E+04
    0.19298E-02    0.58779E+04
    0.19688E-02    0.59819E+04
    0.20086E-02    0.60873E+04
    0.20491E-02    0.61943E+04
    0.20905E-02    0.63027E+04
    0.21328E-02    0.64127E+04
    0.21758E-02    0.65241E+04
    0.22198E-02    0.66370E+04
