#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.339485E-05   0.185718E+08   0.185718E+08   0.247611E+08   0.247611E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.240768E-02
   0.346343E-05   0.185718E+08   0.185718E+08   0.247610E+08   0.247610E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.245632E-02
   0.353340E-05   0.185718E+08   0.185718E+08   0.247609E+08   0.247609E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.250594E-02
   0.360478E-05   0.185718E+08   0.185718E+08   0.247609E+08   0.247609E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.255656E-02
   0.367760E-05   0.185718E+08   0.185718E+08   0.247608E+08   0.247608E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.260821E-02
   0.375189E-05   0.185718E+08   0.185718E+08   0.247608E+08   0.247607E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.266089E-02
   0.382769E-05   0.185718E+08   0.185718E+08   0.247607E+08   0.247607E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.271465E-02
   0.390501E-05   0.185718E+08   0.185718E+08   0.247606E+08   0.247606E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.276949E-02
   0.398390E-05   0.185718E+08   0.185718E+08   0.247605E+08   0.247605E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.282543E-02
   0.406438E-05   0.185718E+08   0.185718E+08   0.247605E+08   0.247605E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.288251E-02
   0.414648E-05   0.185718E+08   0.185718E+08   0.247604E+08   0.247604E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.294074E-02
   0.423025E-05   0.185718E+08   0.185718E+08   0.247603E+08   0.247603E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.300015E-02
   0.431570E-05   0.185718E+08   0.185718E+08   0.247602E+08   0.247602E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.306075E-02
   0.440289E-05   0.185718E+08   0.185718E+08   0.247601E+08   0.247601E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.312258E-02
   0.449183E-05   0.185718E+08   0.185718E+08   0.247600E+08   0.247600E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.318566E-02
   0.458257E-05   0.185718E+08   0.185718E+08   0.247599E+08   0.247599E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.325002E-02
   0.467515E-05   0.185718E+08   0.185718E+08   0.247598E+08   0.247598E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.331567E-02
   0.476959E-05   0.185718E+08   0.185718E+08   0.247597E+08   0.247597E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.338265E-02
   0.486594E-05   0.185718E+08   0.185718E+08   0.247596E+08   0.247596E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.345099E-02
   0.496424E-05   0.185718E+08   0.185718E+08   0.247595E+08   0.247595E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.352070E-02
   0.506453E-05   0.185718E+08   0.185718E+08   0.247594E+08   0.247594E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.359182E-02
   0.516684E-05   0.185718E+08   0.185718E+08   0.247592E+08   0.247592E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.366438E-02
   0.527121E-05   0.185718E+08   0.185718E+08   0.247591E+08   0.247591E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.373840E-02
   0.537770E-05   0.185718E+08   0.185718E+08   0.247590E+08   0.247590E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.381392E-02
   0.548633E-05   0.185718E+08   0.185718E+08   0.247588E+08   0.247588E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.389097E-02
   0.559717E-05   0.185718E+08   0.185718E+08   0.247587E+08   0.247587E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.396957E-02
   0.571024E-05   0.185718E+08   0.185718E+08   0.247585E+08   0.247585E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.404976E-02
   0.582559E-05   0.185718E+08   0.185718E+08   0.247584E+08   0.247584E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.413157E-02
   0.594328E-05   0.185718E+08   0.185718E+08   0.247582E+08   0.247582E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.421503E-02
   0.606334E-05   0.185718E+08   0.185718E+08   0.247580E+08   0.247580E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.430018E-02
   0.618583E-05   0.185718E+08   0.185718E+08   0.247578E+08   0.247578E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.438705E-02
   0.631079E-05   0.185718E+08   0.185718E+08   0.247576E+08   0.247576E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.447567E-02
   0.643827E-05   0.185718E+08   0.185718E+08   0.247575E+08   0.247574E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.456608E-02
   0.656834E-05   0.185718E+08   0.185718E+08   0.247572E+08   0.247572E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.465832E-02
   0.670102E-05   0.185718E+08   0.185718E+08   0.247570E+08   0.247570E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.475242E-02
   0.683639E-05   0.185718E+08   0.185718E+08   0.247568E+08   0.247568E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.484843E-02
   0.697450E-05   0.185718E+08   0.185718E+08   0.247566E+08   0.247566E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.494637E-02
   0.711539E-05   0.185718E+08   0.185718E+08   0.247563E+08   0.247563E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.504629E-02
   0.725913E-05   0.185718E+08   0.185718E+08   0.247561E+08   0.247561E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.514823E-02
   0.740578E-05   0.185718E+08   0.185718E+08   0.247558E+08   0.247558E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.525223E-02
   0.755538E-05   0.185718E+08   0.185718E+08   0.247556E+08   0.247556E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.535833E-02
   0.770801E-05   0.185718E+08   0.185718E+08   0.247553E+08   0.247553E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.546657E-02
   0.786372E-05   0.185718E+08   0.185718E+08   0.247550E+08   0.247550E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.557700E-02
   0.802258E-05   0.185718E+08   0.185718E+08   0.247547E+08   0.247547E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.568966E-02
   0.818465E-05   0.185718E+08   0.185718E+08   0.247544E+08   0.247544E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.580459E-02
   0.834999E-05   0.185718E+08   0.185718E+08   0.247540E+08   0.247540E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.592185E-02
   0.851867E-05   0.185718E+08   0.185718E+08   0.247537E+08   0.247537E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.604148E-02
   0.869076E-05   0.185718E+08   0.185718E+08   0.247533E+08   0.247533E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.616352E-02
   0.886632E-05   0.185718E+08   0.185718E+08   0.247530E+08   0.247530E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.628802E-02
   0.904544E-05   0.185718E+08   0.185718E+08   0.247526E+08   0.247526E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.641504E-02
   0.922817E-05   0.185718E+08   0.185718E+08   0.247522E+08   0.247522E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.654463E-02
   0.941459E-05   0.185718E+08   0.185718E+08   0.247518E+08   0.247518E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492413E+00   0.108289E+08   0.108289E+08   0.667684E-02
   0.960478E-05   0.185718E+08   0.185718E+08   0.247513E+08   0.247513E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.681171E-02
   0.979880E-05   0.185718E+08   0.185718E+08   0.247509E+08   0.247509E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.694931E-02
   0.999675E-05   0.185718E+08   0.185718E+08   0.247504E+08   0.247504E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.708969E-02
   0.101987E-04   0.185718E+08   0.185718E+08   0.247499E+08   0.247499E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.723290E-02
   0.104047E-04   0.185718E+08   0.185718E+08   0.247494E+08   0.247494E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.737901E-02
   0.106149E-04   0.185718E+08   0.185718E+08   0.247489E+08   0.247489E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.752807E-02
   0.108294E-04   0.185718E+08   0.185718E+08   0.247483E+08   0.247483E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.768014E-02
   0.110481E-04   0.185718E+08   0.185718E+08   0.247477E+08   0.247477E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.783528E-02
   0.112713E-04   0.185718E+08   0.185718E+08   0.247471E+08   0.247471E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.799355E-02
   0.114990E-04   0.185718E+08   0.185718E+08   0.247465E+08   0.247465E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.815502E-02
   0.117313E-04   0.185718E+08   0.185718E+08   0.247459E+08   0.247458E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.831975E-02
   0.119683E-04   0.185718E+08   0.185718E+08   0.247452E+08   0.247452E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.848781E-02
   0.122101E-04   0.185718E+08   0.185718E+08   0.247445E+08   0.247445E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.865927E-02
   0.124567E-04   0.185718E+08   0.185718E+08   0.247438E+08   0.247437E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.883418E-02
   0.127084E-04   0.185718E+08   0.185718E+08   0.247430E+08   0.247430E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.901263E-02
   0.129651E-04   0.185718E+08   0.185718E+08   0.247422E+08   0.247422E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.919469E-02
   0.132270E-04   0.185718E+08   0.185718E+08   0.247414E+08   0.247413E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.938042E-02
   0.134942E-04   0.185718E+08   0.185718E+08   0.247405E+08   0.247405E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.956990E-02
   0.137668E-04   0.185718E+08   0.185718E+08   0.247396E+08   0.247396E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.976320E-02
   0.140449E-04   0.185718E+08   0.185718E+08   0.247387E+08   0.247387E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.996041E-02
   0.143286E-04   0.185718E+08   0.185718E+08   0.247377E+08   0.247377E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.101616E-01
   0.146181E-04   0.185718E+08   0.185718E+08   0.247367E+08   0.247367E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.103669E-01
   0.149134E-04   0.185718E+08   0.185718E+08   0.247357E+08   0.247356E+08   0.185720E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.105763E-01
   0.152147E-04   0.185718E+08   0.185718E+08   0.247346E+08   0.247345E+08   0.185719E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.107899E-01
   0.155220E-04   0.185718E+08   0.185718E+08   0.247334E+08   0.247334E+08   0.185719E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492412E+00   0.108289E+08   0.108289E+08   0.110078E-01
   0.158356E-04   0.185718E+08   0.185718E+08   0.247323E+08   0.247322E+08   0.185719E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492411E+00   0.108289E+08   0.108289E+08   0.112302E-01
   0.161555E-04   0.185718E+08   0.185718E+08   0.247310E+08   0.247310E+08   0.185719E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492411E+00   0.108289E+08   0.108289E+08   0.114570E-01
   0.164819E-04   0.185718E+08   0.185718E+08   0.247297E+08   0.247297E+08   0.185719E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492411E+00   0.108289E+08   0.108289E+08   0.116884E-01
   0.168148E-04   0.185718E+08   0.185718E+08   0.247284E+08   0.247284E+08   0.185719E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492411E+00   0.108289E+08   0.108289E+08   0.119245E-01
   0.171545E-04   0.185718E+08   0.185718E+08   0.247270E+08   0.247270E+08   0.185719E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492411E+00   0.108289E+08   0.108289E+08   0.121654E-01
   0.175010E-04   0.185718E+08   0.185718E+08   0.247256E+08   0.247255E+08   0.185719E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492411E+00   0.108289E+08   0.108289E+08   0.124111E-01
   0.178546E-04   0.185718E+08   0.185718E+08   0.247241E+08   0.247240E+08   0.185719E+08   0.185718E+08   0.185718E+08   0.185770E+08  -0.492411E+00   0.108289E+08   0.108289E+08   0.126618E-01
   0.182153E-04   0.185718E+08   0.185718E+08   0.247225E+08   0.247224E+08   0.185719E+08   0.185718E+08   0.185718E+08   0.185769E+08  -0.492411E+00   0.108289E+08   0.108289E+08   0.129175E-01
   0.185832E-04   0.185718E+08   0.185718E+08   0.247209E+08   0.247208E+08   0.185719E+08   0.185718E+08   0.185718E+08   0.185769E+08  -0.492411E+00   0.108289E+08   0.108289E+08   0.131785E-01
   0.189587E-04   0.185718E+08   0.185718E+08   0.247192E+08   0.247191E+08   0.185719E+08   0.185718E+08   0.185718E+08   0.185769E+08  -0.492411E+00   0.108289E+08   0.108289E+08   0.134446E-01
   0.193416E-04   0.185718E+08   0.185718E+08   0.247174E+08   0.247173E+08   0.185719E+08   0.185718E+08   0.185718E+08   0.185769E+08  -0.492411E+00   0.108289E+08   0.108289E+08   0.137162E-01
   0.197324E-04   0.185718E+08   0.185718E+08   0.247156E+08   0.247155E+08   0.185719E+08   0.185718E+08   0.185718E+08   0.185769E+08  -0.492411E+00   0.108289E+08   0.108289E+08   0.139932E-01
   0.201310E-04   0.185718E+08   0.185718E+08   0.247137E+08   0.247136E+08   0.185719E+08   0.185718E+08   0.185718E+08   0.185769E+08  -0.492410E+00   0.108289E+08   0.108289E+08   0.142758E-01
   0.205377E-04   0.185717E+08   0.185717E+08   0.247117E+08   0.247116E+08   0.185719E+08   0.185718E+08   0.185717E+08   0.185769E+08  -0.492410E+00   0.108289E+08   0.108289E+08   0.145642E-01
   0.209525E-04   0.185717E+08   0.185717E+08   0.247096E+08   0.247095E+08   0.185719E+08   0.185718E+08   0.185717E+08   0.185769E+08  -0.492410E+00   0.108289E+08   0.108289E+08   0.148583E-01
   0.213758E-04   0.185717E+08   0.185717E+08   0.247075E+08   0.247074E+08   0.185719E+08   0.185717E+08   0.185717E+08   0.185769E+08  -0.492410E+00   0.108289E+08   0.108289E+08   0.151584E-01
   0.218076E-04   0.185717E+08   0.185717E+08   0.247052E+08   0.247051E+08   0.185719E+08   0.185717E+08   0.185717E+08   0.185769E+08  -0.492410E+00   0.108289E+08   0.108289E+08   0.154646E-01
