#           k/h    P           
    0.10000E-03    0.23427E+03
    0.10202E-03    0.23887E+03
    0.10408E-03    0.24355E+03
    0.10618E-03    0.24833E+03
    0.10833E-03    0.25320E+03
    0.11052E-03    0.25817E+03
    0.11275E-03    0.26324E+03
    0.11503E-03    0.26840E+03
    0.11735E-03    0.27367E+03
    0.11972E-03    0.27903E+03
    0.12214E-03    0.28451E+03
    0.12461E-03    0.29009E+03
    0.12712E-03    0.29578E+03
    0.12969E-03    0.30158E+03
    0.13231E-03    0.30750E+03
    0.13499E-03    0.31353E+03
    0.13771E-03    0.31968E+03
    0.14049E-03    0.32595E+03
    0.14333E-03    0.33234E+03
    0.14623E-03    0.33886E+03
    0.14918E-03    0.34551E+03
    0.15220E-03    0.35228E+03
    0.15527E-03    0.35919E+03
    0.15841E-03    0.36623E+03
    0.16161E-03    0.37341E+03
    0.16487E-03    0.38074E+03
    0.16820E-03    0.38820E+03
    0.17160E-03    0.39581E+03
    0.17507E-03    0.40357E+03
    0.17860E-03    0.41148E+03
    0.18221E-03    0.41955E+03
    0.18589E-03    0.42777E+03
    0.18965E-03    0.43616E+03
    0.19348E-03    0.44470E+03
    0.19739E-03    0.45342E+03
    0.20138E-03    0.46230E+03
    0.20544E-03    0.47136E+03
    0.20959E-03    0.48060E+03
    0.21383E-03    0.49002E+03
    0.21815E-03    0.49961E+03
    0.22255E-03    0.50940E+03
    0.22705E-03    0.51938E+03
    0.23164E-03    0.52955E+03
    0.23632E-03    0.53992E+03
    0.24109E-03    0.55049E+03
    0.24596E-03    0.56127E+03
    0.25093E-03    0.57226E+03
    0.25600E-03    0.58346E+03
    0.26117E-03    0.59488E+03
    0.26645E-03    0.60653E+03
    0.27183E-03    0.61840E+03
    0.27732E-03    0.63050E+03
    0.28292E-03    0.64283E+03
    0.28864E-03    0.65541E+03
    0.29447E-03    0.66822E+03
    0.30042E-03    0.68129E+03
    0.30649E-03    0.69461E+03
    0.31268E-03    0.70819E+03
    0.31899E-03    0.72204E+03
    0.32544E-03    0.73615E+03
    0.33201E-03    0.75053E+03
    0.33872E-03    0.76519E+03
    0.34556E-03    0.78014E+03
    0.35254E-03    0.79538E+03
    0.35966E-03    0.81090E+03
    0.36693E-03    0.82673E+03
    0.37434E-03    0.84287E+03
    0.38190E-03    0.85932E+03
    0.38962E-03    0.87608E+03
    0.39749E-03    0.89316E+03
    0.40552E-03    0.91058E+03
    0.41371E-03    0.92833E+03
    0.42207E-03    0.94642E+03
    0.43060E-03    0.96486E+03
    0.43929E-03    0.98365E+03
    0.44817E-03    0.10028E+04
    0.45722E-03    0.10223E+04
    0.46646E-03    0.10422E+04
    0.47588E-03    0.10625E+04
    0.48550E-03    0.10831E+04
    0.49530E-03    0.11042E+04
    0.50531E-03    0.11256E+04
    0.51552E-03    0.11475E+04
    0.52593E-03    0.11698E+04
    0.53656E-03    0.11925E+04
    0.54739E-03    0.12156E+04
    0.55845E-03    0.12392E+04
    0.56973E-03    0.12632E+04
    0.58124E-03    0.12877E+04
    0.59299E-03    0.13126E+04
    0.60496E-03    0.13380E+04
    0.61719E-03    0.13639E+04
    0.62965E-03    0.13903E+04
    0.64237E-03    0.14171E+04
    0.65535E-03    0.14445E+04
    0.66859E-03    0.14724E+04
    0.68210E-03    0.15007E+04
    0.69588E-03    0.15297E+04
    0.70993E-03    0.15591E+04
    0.72427E-03    0.15891E+04
    0.73891E-03    0.16197E+04
    0.75383E-03    0.16508E+04
    0.76906E-03    0.16825E+04
    0.78460E-03    0.17148E+04
    0.80045E-03    0.17477E+04
    0.81662E-03    0.17812E+04
    0.83311E-03    0.18153E+04
    0.84994E-03    0.18500E+04
    0.86711E-03    0.18853E+04
    0.88463E-03    0.19213E+04
    0.90250E-03    0.19580E+04
    0.92073E-03    0.19953E+04
    0.93933E-03    0.20332E+04
    0.95831E-03    0.20719E+04
    0.97767E-03    0.21112E+04
    0.99742E-03    0.21513E+04
    0.10176E-02    0.21920E+04
    0.10381E-02    0.22335E+04
    0.10591E-02    0.22757E+04
    0.10805E-02    0.23187E+04
    0.11023E-02    0.23624E+04
    0.11246E-02    0.24069E+04
    0.11473E-02    0.24521E+04
    0.11705E-02    0.24981E+04
    0.11941E-02    0.25450E+04
    0.12182E-02    0.25926E+04
    0.12429E-02    0.26410E+04
    0.12680E-02    0.26903E+04
    0.12936E-02    0.27404E+04
    0.13197E-02    0.27913E+04
    0.13464E-02    0.28431E+04
    0.13736E-02    0.28958E+04
    0.14013E-02    0.29493E+04
    0.14296E-02    0.30037E+04
    0.14585E-02    0.30590E+04
    0.14880E-02    0.31152E+04
    0.15180E-02    0.31723E+04
    0.15487E-02    0.32303E+04
    0.15800E-02    0.32892E+04
    0.16119E-02    0.33491E+04
    0.16445E-02    0.34099E+04
    0.16777E-02    0.34717E+04
    0.17116E-02    0.35344E+04
    0.17462E-02    0.35981E+04
    0.17814E-02    0.36628E+04
    0.18174E-02    0.37284E+04
    0.18541E-02    0.37950E+04
    0.18916E-02    0.38625E+04
    0.19298E-02    0.39311E+04
    0.19688E-02    0.40006E+04
    0.20086E-02    0.40712E+04
    0.20491E-02    0.41427E+04
    0.20905E-02    0.42153E+04
    0.21328E-02    0.42888E+04
    0.21758E-02    0.43633E+04
    0.22198E-02    0.44388E+04
    0.22646E-02    0.45154E+04
    0.23104E-02    0.45929E+04
    0.23571E-02    0.46714E+04
    0.24047E-02    0.47509E+04
    0.24533E-02    0.48315E+04
    0.25028E-02    0.49129E+04
    0.25534E-02    0.49954E+04
    0.26050E-02    0.50788E+04
    0.26576E-02    0.51632E+04
    0.27113E-02    0.52486E+04
    0.27660E-02    0.53349E+04
    0.28219E-02    0.54221E+04
    0.28789E-02    0.55103E+04
    0.29371E-02    0.55993E+04
    0.29964E-02    0.56893E+04
    0.30569E-02    0.57801E+04
    0.31187E-02    0.58718E+04
    0.31817E-02    0.59644E+04
    0.32460E-02    0.60577E+04
    0.33115E-02    0.61519E+04
    0.33784E-02    0.62469E+04
    0.34467E-02    0.63426E+04
    0.35163E-02    0.64391E+04
    0.35874E-02    0.65362E+04
    0.36598E-02    0.66341E+04
    0.37338E-02    0.67326E+04
    0.38092E-02    0.68318E+04
    0.38861E-02    0.69315E+04
    0.39646E-02    0.70318E+04
    0.40447E-02    0.71327E+04
    0.41264E-02    0.72340E+04
    0.42098E-02    0.73358E+04
    0.42948E-02    0.74380E+04
    0.43816E-02    0.75406E+04
    0.44701E-02    0.76436E+04
    0.45604E-02    0.77469E+04
    0.46525E-02    0.78504E+04
    0.47465E-02    0.79541E+04
    0.48424E-02    0.80581E+04
    0.49402E-02    0.81621E+04
    0.50400E-02    0.82662E+04
    0.51419E-02    0.83703E+04
    0.52457E-02    0.84744E+04
    0.53517E-02    0.85784E+04
    0.54598E-02    0.86823E+04
    0.55701E-02    0.87860E+04
    0.56826E-02    0.88894E+04
    0.57974E-02    0.89926E+04
    0.59145E-02    0.90953E+04
    0.60340E-02    0.91976E+04
    0.61559E-02    0.92994E+04
    0.62803E-02    0.94007E+04
    0.64072E-02    0.95013E+04
    0.65366E-02    0.96011E+04
    0.66686E-02    0.97002E+04
    0.68033E-02    0.97985E+04
    0.69408E-02    0.98958E+04
    0.70810E-02    0.99921E+04
    0.72240E-02    0.10087E+05
    0.73700E-02    0.10181E+05
    0.75189E-02    0.10274E+05
    0.76708E-02    0.10366E+05
    0.78257E-02    0.10456E+05
    0.79838E-02    0.10544E+05
    0.81451E-02    0.10631E+05
    0.83096E-02    0.10716E+05
    0.84775E-02    0.10800E+05
    0.86488E-02    0.10881E+05
    0.88235E-02    0.10961E+05
    0.90017E-02    0.11038E+05
    0.91836E-02    0.11114E+05
    0.93691E-02    0.11187E+05
    0.95583E-02    0.11257E+05
    0.97514E-02    0.11325E+05
    0.99484E-02    0.11391E+05
    0.10149E-01    0.11453E+05
    0.10354E-01    0.11513E+05
    0.10564E-01    0.11570E+05
    0.10777E-01    0.11624E+05
    0.10995E-01    0.11675E+05
    0.11217E-01    0.11722E+05
    0.11443E-01    0.11766E+05
    0.11675E-01    0.11807E+05
    0.11910E-01    0.11844E+05
    0.12151E-01    0.11877E+05
    0.12397E-01    0.11906E+05
    0.12647E-01    0.11931E+05
    0.12902E-01    0.11953E+05
    0.13163E-01    0.11970E+05
    0.13429E-01    0.11982E+05
    0.13700E-01    0.11991E+05
    0.13977E-01    0.11995E+05
    0.14259E-01    0.11994E+05
    0.14547E-01    0.11988E+05
    0.14841E-01    0.11978E+05
    0.15141E-01    0.11962E+05
    0.15447E-01    0.11942E+05
    0.15759E-01    0.11917E+05
    0.16077E-01    0.11886E+05
    0.16402E-01    0.11850E+05
    0.16734E-01    0.11809E+05
    0.17072E-01    0.11762E+05
    0.17416E-01    0.11710E+05
    0.17768E-01    0.11652E+05
    0.18127E-01    0.11589E+05
    0.18493E-01    0.11520E+05
    0.18867E-01    0.11446E+05
    0.19248E-01    0.11366E+05
    0.19637E-01    0.11281E+05
    0.20034E-01    0.11190E+05
    0.20438E-01    0.11094E+05
    0.20851E-01    0.10992E+05
    0.21272E-01    0.10886E+05
    0.21702E-01    0.10773E+05
    0.22141E-01    0.10656E+05
    0.22588E-01    0.10534E+05
    0.23044E-01    0.10407E+05
    0.23510E-01    0.10275E+05
    0.23985E-01    0.10139E+05
    0.24469E-01    0.99987E+04
    0.24964E-01    0.98542E+04
    0.25468E-01    0.97060E+04
    0.25982E-01    0.95542E+04
    0.26507E-01    0.93992E+04
    0.27043E-01    0.92412E+04
    0.27589E-01    0.90807E+04
