#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.339485E-05   0.651026E+07   0.651026E+07   0.868020E+07   0.868019E+07   0.651087E+07   0.651028E+07   0.651026E+07   0.651655E+07  -0.595870E+00   0.636969E+07   0.636969E+07   0.766766E-02
   0.346343E-05   0.651026E+07   0.651026E+07   0.868019E+07   0.868019E+07   0.651087E+07   0.651028E+07   0.651026E+07   0.651655E+07  -0.595870E+00   0.636969E+07   0.636969E+07   0.782256E-02
   0.353340E-05   0.651026E+07   0.651026E+07   0.868018E+07   0.868018E+07   0.651087E+07   0.651028E+07   0.651026E+07   0.651655E+07  -0.595870E+00   0.636969E+07   0.636969E+07   0.798058E-02
   0.360478E-05   0.651026E+07   0.651026E+07   0.868018E+07   0.868017E+07   0.651087E+07   0.651028E+07   0.651026E+07   0.651655E+07  -0.595870E+00   0.636969E+07   0.636969E+07   0.814180E-02
   0.367760E-05   0.651026E+07   0.651026E+07   0.868017E+07   0.868017E+07   0.651087E+07   0.651028E+07   0.651026E+07   0.651655E+07  -0.595870E+00   0.636969E+07   0.636969E+07   0.830627E-02
   0.375189E-05   0.651026E+07   0.651026E+07   0.868016E+07   0.868016E+07   0.651087E+07   0.651028E+07   0.651026E+07   0.651655E+07  -0.595870E+00   0.636969E+07   0.636969E+07   0.847407E-02
   0.382769E-05   0.651026E+07   0.651026E+07   0.868015E+07   0.868015E+07   0.651087E+07   0.651028E+07   0.651026E+07   0.651655E+07  -0.595870E+00   0.636969E+07   0.636969E+07   0.864526E-02
   0.390501E-05   0.651026E+07   0.651026E+07   0.868014E+07   0.868014E+07   0.651087E+07   0.651028E+07   0.651026E+07   0.651655E+07  -0.595870E+00   0.636969E+07   0.636969E+07   0.881990E-02
   0.398390E-05   0.651026E+07   0.651026E+07   0.868014E+07   0.868014E+07   0.651087E+07   0.651028E+07   0.651026E+07   0.651655E+07  -0.595870E+00   0.636969E+07   0.636969E+07   0.899808E-02
   0.406438E-05   0.651026E+07   0.651026E+07   0.868013E+07   0.868013E+07   0.651087E+07   0.651028E+07   0.651026E+07   0.651655E+07  -0.595870E+00   0.636969E+07   0.636969E+07   0.917985E-02
