#           k/h    P           
    0.10000E-03    0.70934E+02
    0.10202E-03    0.72326E+02
    0.10408E-03    0.73746E+02
    0.10618E-03    0.75193E+02
    0.10833E-03    0.76668E+02
    0.11052E-03    0.78172E+02
    0.11275E-03    0.79706E+02
    0.11503E-03    0.81270E+02
    0.11735E-03    0.82864E+02
    0.11972E-03    0.84490E+02
    0.12214E-03    0.86148E+02
    0.12461E-03    0.87838E+02
    0.12712E-03    0.89561E+02
    0.12969E-03    0.91318E+02
    0.13231E-03    0.93109E+02
    0.13499E-03    0.94936E+02
    0.13771E-03    0.96798E+02
    0.14049E-03    0.98697E+02
    0.14333E-03    0.10063E+03
    0.14623E-03    0.10261E+03
    0.14918E-03    0.10462E+03
    0.15220E-03    0.10667E+03
    0.15527E-03    0.10876E+03
    0.15841E-03    0.11090E+03
    0.16161E-03    0.11307E+03
    0.16487E-03    0.11529E+03
    0.16820E-03    0.11755E+03
    0.17160E-03    0.11985E+03
    0.17507E-03    0.12220E+03
    0.17860E-03    0.12460E+03
    0.18221E-03    0.12704E+03
    0.18589E-03    0.12953E+03
    0.18965E-03    0.13207E+03
    0.19348E-03    0.13466E+03
    0.19739E-03    0.13730E+03
    0.20138E-03    0.13999E+03
    0.20544E-03    0.14273E+03
    0.20959E-03    0.14553E+03
    0.21383E-03    0.14838E+03
    0.21815E-03    0.15129E+03
    0.22255E-03    0.15425E+03
    0.22705E-03    0.15728E+03
    0.23164E-03    0.16036E+03
    0.23632E-03    0.16350E+03
    0.24109E-03    0.16670E+03
    0.24596E-03    0.16997E+03
    0.25093E-03    0.17329E+03
    0.25600E-03    0.17669E+03
    0.26117E-03    0.18015E+03
    0.26645E-03    0.18367E+03
    0.27183E-03    0.18727E+03
    0.27732E-03    0.19093E+03
    0.28292E-03    0.19467E+03
    0.28864E-03    0.19848E+03
    0.29447E-03    0.20236E+03
    0.30042E-03    0.20632E+03
    0.30649E-03    0.21036E+03
    0.31268E-03    0.21447E+03
    0.31899E-03    0.21867E+03
    0.32544E-03    0.22294E+03
    0.33201E-03    0.22730E+03
    0.33872E-03    0.23174E+03
    0.34556E-03    0.23627E+03
    0.35254E-03    0.24089E+03
    0.35966E-03    0.24559E+03
    0.36693E-03    0.25039E+03
    0.37434E-03    0.25528E+03
    0.38190E-03    0.26026E+03
    0.38962E-03    0.26534E+03
    0.39749E-03    0.27052E+03
    0.40552E-03    0.27580E+03
    0.41371E-03    0.28117E+03
    0.42207E-03    0.28666E+03
    0.43060E-03    0.29225E+03
    0.43929E-03    0.29794E+03
    0.44817E-03    0.30375E+03
    0.45722E-03    0.30966E+03
    0.46646E-03    0.31569E+03
    0.47588E-03    0.32184E+03
    0.48550E-03    0.32810E+03
    0.49530E-03    0.33448E+03
    0.50531E-03    0.34098E+03
    0.51552E-03    0.34761E+03
    0.52593E-03    0.35437E+03
    0.53656E-03    0.36125E+03
    0.54739E-03    0.36826E+03
    0.55845E-03    0.37541E+03
    0.56973E-03    0.38269E+03
    0.58124E-03    0.39011E+03
    0.59299E-03    0.39767E+03
    0.60496E-03    0.40537E+03
    0.61719E-03    0.41322E+03
    0.62965E-03    0.42122E+03
    0.64237E-03    0.42936E+03
    0.65535E-03    0.43766E+03
    0.66859E-03    0.44611E+03
    0.68210E-03    0.45473E+03
    0.69588E-03    0.46350E+03
    0.70993E-03    0.47243E+03
    0.72427E-03    0.48154E+03
    0.73891E-03    0.49081E+03
    0.75383E-03    0.50025E+03
    0.76906E-03    0.50987E+03
    0.78460E-03    0.51966E+03
    0.80045E-03    0.52963E+03
    0.81662E-03    0.53979E+03
    0.83311E-03    0.55013E+03
    0.84994E-03    0.56067E+03
    0.86711E-03    0.57139E+03
    0.88463E-03    0.58231E+03
    0.90250E-03    0.59342E+03
    0.92073E-03    0.60474E+03
    0.93933E-03    0.61626E+03
    0.95831E-03    0.62799E+03
    0.97767E-03    0.63993E+03
    0.99742E-03    0.65208E+03
    0.10176E-02    0.66444E+03
    0.10381E-02    0.67703E+03
    0.10591E-02    0.68983E+03
    0.10805E-02    0.70287E+03
    0.11023E-02    0.71613E+03
    0.11246E-02    0.72962E+03
    0.11473E-02    0.74335E+03
    0.11705E-02    0.75731E+03
    0.11941E-02    0.77151E+03
    0.12182E-02    0.78596E+03
    0.12429E-02    0.80066E+03
    0.12680E-02    0.81560E+03
    0.12936E-02    0.83080E+03
    0.13197E-02    0.84626E+03
    0.13464E-02    0.86197E+03
    0.13736E-02    0.87794E+03
    0.14013E-02    0.89418E+03
    0.14296E-02    0.91069E+03
    0.14585E-02    0.92746E+03
    0.14880E-02    0.94451E+03
    0.15180E-02    0.96183E+03
    0.15487E-02    0.97943E+03
    0.15800E-02    0.99732E+03
    0.16119E-02    0.10155E+04
    0.16445E-02    0.10339E+04
    0.16777E-02    0.10527E+04
    0.17116E-02    0.10717E+04
    0.17462E-02    0.10910E+04
    0.17814E-02    0.11106E+04
    0.18174E-02    0.11305E+04
    0.18541E-02    0.11507E+04
    0.18916E-02    0.11712E+04
    0.19298E-02    0.11920E+04
    0.19688E-02    0.12131E+04
    0.20086E-02    0.12346E+04
    0.20491E-02    0.12563E+04
    0.20905E-02    0.12783E+04
    0.21328E-02    0.13006E+04
    0.21758E-02    0.13232E+04
    0.22198E-02    0.13461E+04
    0.22646E-02    0.13693E+04
    0.23104E-02    0.13929E+04
    0.23571E-02    0.14167E+04
    0.24047E-02    0.14408E+04
    0.24533E-02    0.14653E+04
    0.25028E-02    0.14900E+04
    0.25534E-02    0.15150E+04
    0.26050E-02    0.15403E+04
    0.26576E-02    0.15659E+04
    0.27113E-02    0.15918E+04
    0.27660E-02    0.16180E+04
    0.28219E-02    0.16445E+04
    0.28789E-02    0.16713E+04
    0.29371E-02    0.16983E+04
    0.29964E-02    0.17256E+04
    0.30569E-02    0.17532E+04
    0.31187E-02    0.17810E+04
    0.31817E-02    0.18091E+04
    0.32460E-02    0.18375E+04
    0.33115E-02    0.18661E+04
    0.33784E-02    0.18949E+04
    0.34467E-02    0.19240E+04
    0.35163E-02    0.19532E+04
    0.35874E-02    0.19828E+04
    0.36598E-02    0.20125E+04
    0.37338E-02    0.20424E+04
    0.38092E-02    0.20725E+04
    0.38861E-02    0.21028E+04
    0.39646E-02    0.21333E+04
    0.40447E-02    0.21639E+04
    0.41264E-02    0.21947E+04
    0.42098E-02    0.22256E+04
    0.42948E-02    0.22567E+04
    0.43816E-02    0.22879E+04
    0.44701E-02    0.23191E+04
    0.45604E-02    0.23505E+04
    0.46525E-02    0.23820E+04
    0.47465E-02    0.24135E+04
    0.48424E-02    0.24451E+04
    0.49402E-02    0.24767E+04
    0.50400E-02    0.25084E+04
    0.51419E-02    0.25400E+04
    0.52457E-02    0.25717E+04
    0.53517E-02    0.26033E+04
    0.54598E-02    0.26349E+04
    0.55701E-02    0.26665E+04
    0.56826E-02    0.26980E+04
    0.57974E-02    0.27293E+04
    0.59145E-02    0.27606E+04
    0.60340E-02    0.27918E+04
    0.61559E-02    0.28227E+04
    0.62803E-02    0.28536E+04
    0.64072E-02    0.28842E+04
    0.65366E-02    0.29146E+04
    0.66686E-02    0.29448E+04
    0.68033E-02    0.29748E+04
    0.69408E-02    0.30044E+04
    0.70810E-02    0.30338E+04
    0.72240E-02    0.30628E+04
    0.73700E-02    0.30915E+04
    0.75189E-02    0.31198E+04
    0.76708E-02    0.31477E+04
    0.78257E-02    0.31752E+04
    0.79838E-02    0.32023E+04
    0.81451E-02    0.32288E+04
    0.83096E-02    0.32549E+04
    0.84775E-02    0.32804E+04
    0.86488E-02    0.33053E+04
    0.88235E-02    0.33297E+04
    0.90017E-02    0.33534E+04
    0.91836E-02    0.33764E+04
    0.93691E-02    0.33988E+04
    0.95583E-02    0.34204E+04
    0.97514E-02    0.34413E+04
    0.99484E-02    0.34614E+04
    0.10149E-01    0.34807E+04
    0.10354E-01    0.34991E+04
    0.10564E-01    0.35167E+04
    0.10777E-01    0.35333E+04
    0.10995E-01    0.35489E+04
    0.11217E-01    0.35636E+04
    0.11443E-01    0.35772E+04
    0.11675E-01    0.35898E+04
    0.11910E-01    0.36013E+04
    0.12151E-01    0.36117E+04
    0.12397E-01    0.36208E+04
    0.12647E-01    0.36288E+04
    0.12902E-01    0.36356E+04
    0.13163E-01    0.36411E+04
    0.13429E-01    0.36453E+04
    0.13700E-01    0.36481E+04
    0.13977E-01    0.36496E+04
    0.14259E-01    0.36497E+04
    0.14547E-01    0.36483E+04
    0.14841E-01    0.36455E+04
    0.15141E-01    0.36412E+04
    0.15447E-01    0.36353E+04
    0.15759E-01    0.36279E+04
    0.16077E-01    0.36189E+04
    0.16402E-01    0.36083E+04
    0.16734E-01    0.35961E+04
    0.17072E-01    0.35823E+04
    0.17416E-01    0.35668E+04
    0.17768E-01    0.35496E+04
    0.18127E-01    0.35308E+04
    0.18493E-01    0.35102E+04
    0.18867E-01    0.34880E+04
    0.19248E-01    0.34641E+04
    0.19637E-01    0.34386E+04
    0.20034E-01    0.34113E+04
    0.20438E-01    0.33824E+04
    0.20851E-01    0.33518E+04
    0.21272E-01    0.33197E+04
    0.21702E-01    0.32859E+04
    0.22141E-01    0.32505E+04
    0.22588E-01    0.32137E+04
    0.23044E-01    0.31754E+04
    0.23510E-01    0.31356E+04
    0.23985E-01    0.30945E+04
    0.24469E-01    0.30520E+04
    0.24964E-01    0.30084E+04
    0.25468E-01    0.29635E+04
    0.25982E-01    0.29176E+04
    0.26507E-01    0.28707E+04
    0.27043E-01    0.28228E+04
    0.27589E-01    0.27742E+04
    0.28146E-01    0.27249E+04
    0.28715E-01    0.26750E+04
    0.29295E-01    0.26246E+04
    0.29887E-01    0.25738E+04
    0.30490E-01    0.25228E+04
    0.31106E-01    0.24717E+04
    0.31735E-01    0.24206E+04
    0.32376E-01    0.23697E+04
    0.33030E-01    0.23190E+04
    0.33697E-01    0.22687E+04
    0.34378E-01    0.22190E+04
    0.35072E-01    0.21699E+04
    0.35781E-01    0.21216E+04
    0.36504E-01    0.20742E+04
    0.37241E-01    0.20278E+04
    0.37993E-01    0.19826E+04
    0.38761E-01    0.19386E+04
    0.39544E-01    0.18959E+04
    0.40343E-01    0.18546E+04
    0.41158E-01    0.18148E+04
    0.41989E-01    0.17765E+04
    0.42838E-01    0.17398E+04
    0.43703E-01    0.17047E+04
    0.44586E-01    0.16713E+04
    0.45486E-01    0.16395E+04
    0.46405E-01    0.16092E+04
    0.47343E-01    0.15806E+04
    0.48299E-01    0.15535E+04
    0.49275E-01    0.15279E+04
    0.50270E-01    0.15036E+04
    0.51286E-01    0.14807E+04
    0.52322E-01    0.14588E+04
    0.53379E-01    0.14379E+04
    0.54457E-01    0.14178E+04
    0.55557E-01    0.13983E+04
    0.56680E-01    0.13792E+04
    0.57825E-01    0.13604E+04
    0.58993E-01    0.13415E+04
    0.60184E-01    0.13224E+04
    0.61400E-01    0.13028E+04
    0.62641E-01    0.12825E+04
    0.63906E-01    0.12613E+04
    0.65197E-01    0.12390E+04
    0.66514E-01    0.12155E+04
    0.67858E-01    0.11905E+04
    0.69229E-01    0.11641E+04
    0.70627E-01    0.11362E+04
    0.72054E-01    0.11068E+04
    0.73510E-01    0.10759E+04
    0.74994E-01    0.10437E+04
    0.76509E-01    0.10104E+04
    0.78055E-01    0.97616E+03
    0.79632E-01    0.94132E+03
    0.81241E-01    0.90620E+03
    0.82882E-01    0.87117E+03
    0.84556E-01    0.83656E+03
    0.86264E-01    0.80277E+03
    0.88007E-01    0.77016E+03
    0.89785E-01    0.73908E+03
    0.91598E-01    0.70982E+03
    0.93449E-01    0.68265E+03
    0.95337E-01    0.65773E+03
    0.97263E-01    0.63519E+03
    0.99227E-01    0.61508E+03
    0.10123E+00    0.59736E+03
    0.10328E+00    0.58189E+03
    0.10536E+00    0.56848E+03
    0.10749E+00    0.55684E+03
    0.10966E+00    0.54662E+03
    0.11188E+00    0.53740E+03
    0.11414E+00    0.52873E+03
    0.11644E+00    0.52011E+03
    0.11880E+00    0.51108E+03
    0.12120E+00    0.50121E+03
    0.12365E+00    0.49013E+03
    0.12614E+00    0.47760E+03
    0.12869E+00    0.46350E+03
    0.13129E+00    0.44786E+03
    0.13394E+00    0.43087E+03
    0.13665E+00    0.41286E+03
    0.13941E+00    0.39427E+03
    0.14223E+00    0.37562E+03
    0.14510E+00    0.35744E+03
    0.14803E+00    0.34025E+03
    0.15102E+00    0.32447E+03
