#           k/h    P           
    0.10000E-03    0.11323E+03
    0.10202E-03    0.11545E+03
    0.10408E-03    0.11772E+03
    0.10618E-03    0.12002E+03
    0.10833E-03    0.12238E+03
    0.11052E-03    0.12478E+03
    0.11275E-03    0.12723E+03
    0.11503E-03    0.12973E+03
    0.11735E-03    0.13227E+03
    0.11972E-03    0.13487E+03
    0.12214E-03    0.13751E+03
    0.12461E-03    0.14021E+03
    0.12712E-03    0.14296E+03
    0.12969E-03    0.14576E+03
    0.13231E-03    0.14862E+03
    0.13499E-03    0.15154E+03
    0.13771E-03    0.15451E+03
    0.14049E-03    0.15754E+03
    0.14333E-03    0.16063E+03
    0.14623E-03    0.16378E+03
    0.14918E-03    0.16699E+03
    0.15220E-03    0.17027E+03
    0.15527E-03    0.17361E+03
    0.15841E-03    0.17701E+03
    0.16161E-03    0.18048E+03
    0.16487E-03    0.18402E+03
    0.16820E-03    0.18763E+03
    0.17160E-03    0.19131E+03
    0.17507E-03    0.19506E+03
    0.17860E-03    0.19889E+03
    0.18221E-03    0.20278E+03
    0.18589E-03    0.20676E+03
    0.18965E-03    0.21081E+03
    0.19348E-03    0.21494E+03
    0.19739E-03    0.21916E+03
    0.20138E-03    0.22345E+03
    0.20544E-03    0.22783E+03
    0.20959E-03    0.23230E+03
    0.21383E-03    0.23685E+03
    0.21815E-03    0.24149E+03
    0.22255E-03    0.24622E+03
    0.22705E-03    0.25104E+03
    0.23164E-03    0.25596E+03
    0.23632E-03    0.26097E+03
    0.24109E-03    0.26608E+03
    0.24596E-03    0.27130E+03
    0.25093E-03    0.27661E+03
    0.25600E-03    0.28202E+03
    0.26117E-03    0.28754E+03
    0.26645E-03    0.29317E+03
    0.27183E-03    0.29891E+03
    0.27732E-03    0.30476E+03
    0.28292E-03    0.31072E+03
    0.28864E-03    0.31680E+03
    0.29447E-03    0.32300E+03
    0.30042E-03    0.32932E+03
    0.30649E-03    0.33576E+03
    0.31268E-03    0.34232E+03
    0.31899E-03    0.34902E+03
    0.32544E-03    0.35584E+03
    0.33201E-03    0.36279E+03
    0.33872E-03    0.36988E+03
    0.34556E-03    0.37711E+03
    0.35254E-03    0.38448E+03
    0.35966E-03    0.39199E+03
    0.36693E-03    0.39964E+03
    0.37434E-03    0.40744E+03
    0.38190E-03    0.41539E+03
    0.38962E-03    0.42350E+03
    0.39749E-03    0.43176E+03
    0.40552E-03    0.44018E+03
    0.41371E-03    0.44877E+03
    0.42207E-03    0.45751E+03
    0.43060E-03    0.46643E+03
    0.43929E-03    0.47552E+03
    0.44817E-03    0.48478E+03
    0.45722E-03    0.49422E+03
    0.46646E-03    0.50384E+03
    0.47588E-03    0.51364E+03
    0.48550E-03    0.52364E+03
    0.49530E-03    0.53382E+03
    0.50531E-03    0.54420E+03
    0.51552E-03    0.55477E+03
    0.52593E-03    0.56554E+03
    0.53656E-03    0.57653E+03
    0.54739E-03    0.58771E+03
    0.55845E-03    0.59911E+03
    0.56973E-03    0.61073E+03
    0.58124E-03    0.62257E+03
    0.59299E-03    0.63463E+03
    0.60496E-03    0.64692E+03
    0.61719E-03    0.65943E+03
    0.62965E-03    0.67219E+03
    0.64237E-03    0.68518E+03
    0.65535E-03    0.69842E+03
    0.66859E-03    0.71190E+03
    0.68210E-03    0.72564E+03
    0.69588E-03    0.73963E+03
    0.70993E-03    0.75389E+03
    0.72427E-03    0.76840E+03
    0.73891E-03    0.78319E+03
    0.75383E-03    0.79825E+03
    0.76906E-03    0.81359E+03
    0.78460E-03    0.82921E+03
    0.80045E-03    0.84512E+03
    0.81662E-03    0.86132E+03
    0.83311E-03    0.87781E+03
    0.84994E-03    0.89461E+03
    0.86711E-03    0.91171E+03
    0.88463E-03    0.92912E+03
    0.90250E-03    0.94685E+03
    0.92073E-03    0.96490E+03
    0.93933E-03    0.98327E+03
    0.95831E-03    0.10020E+04
    0.97767E-03    0.10210E+04
    0.99742E-03    0.10404E+04
    0.10176E-02    0.10601E+04
    0.10381E-02    0.10802E+04
    0.10591E-02    0.11006E+04
    0.10805E-02    0.11214E+04
    0.11023E-02    0.11425E+04
    0.11246E-02    0.11640E+04
    0.11473E-02    0.11859E+04
    0.11705E-02    0.12082E+04
    0.11941E-02    0.12309E+04
    0.12182E-02    0.12539E+04
    0.12429E-02    0.12773E+04
    0.12680E-02    0.13012E+04
    0.12936E-02    0.13254E+04
    0.13197E-02    0.13501E+04
    0.13464E-02    0.13751E+04
    0.13736E-02    0.14006E+04
    0.14013E-02    0.14265E+04
    0.14296E-02    0.14528E+04
    0.14585E-02    0.14796E+04
    0.14880E-02    0.15067E+04
    0.15180E-02    0.15344E+04
    0.15487E-02    0.15624E+04
    0.15800E-02    0.15910E+04
    0.16119E-02    0.16199E+04
    0.16445E-02    0.16493E+04
    0.16777E-02    0.16792E+04
    0.17116E-02    0.17096E+04
    0.17462E-02    0.17404E+04
    0.17814E-02    0.17717E+04
    0.18174E-02    0.18034E+04
    0.18541E-02    0.18356E+04
    0.18916E-02    0.18683E+04
    0.19298E-02    0.19015E+04
    0.19688E-02    0.19352E+04
    0.20086E-02    0.19693E+04
    0.20491E-02    0.20039E+04
    0.20905E-02    0.20390E+04
    0.21328E-02    0.20746E+04
    0.21758E-02    0.21106E+04
    0.22198E-02    0.21472E+04
    0.22646E-02    0.21842E+04
    0.23104E-02    0.22217E+04
    0.23571E-02    0.22597E+04
    0.24047E-02    0.22982E+04
    0.24533E-02    0.23372E+04
    0.25028E-02    0.23766E+04
    0.25534E-02    0.24165E+04
    0.26050E-02    0.24569E+04
    0.26576E-02    0.24977E+04
    0.27113E-02    0.25390E+04
    0.27660E-02    0.25808E+04
    0.28219E-02    0.26230E+04
    0.28789E-02    0.26657E+04
    0.29371E-02    0.27088E+04
    0.29964E-02    0.27523E+04
    0.30569E-02    0.27963E+04
    0.31187E-02    0.28407E+04
    0.31817E-02    0.28854E+04
    0.32460E-02    0.29306E+04
    0.33115E-02    0.29762E+04
    0.33784E-02    0.30222E+04
    0.34467E-02    0.30685E+04
    0.35163E-02    0.31152E+04
    0.35874E-02    0.31623E+04
    0.36598E-02    0.32096E+04
    0.37338E-02    0.32573E+04
    0.38092E-02    0.33053E+04
    0.38861E-02    0.33536E+04
