#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.339485E-05   0.900005E+07   0.900005E+07   0.119998E+08   0.119998E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.563069E-02
   0.346343E-05   0.900005E+07   0.900005E+07   0.119998E+08   0.119998E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.574444E-02
   0.353340E-05   0.900005E+07   0.900005E+07   0.119997E+08   0.119997E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.586049E-02
   0.360478E-05   0.900005E+07   0.900005E+07   0.119997E+08   0.119997E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.597888E-02
   0.367760E-05   0.900005E+07   0.900005E+07   0.119997E+08   0.119997E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.609966E-02
   0.375189E-05   0.900005E+07   0.900005E+07   0.119997E+08   0.119997E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.622288E-02
   0.382769E-05   0.900005E+07   0.900005E+07   0.119997E+08   0.119997E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.634859E-02
   0.390501E-05   0.900005E+07   0.900005E+07   0.119997E+08   0.119997E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.647684E-02
   0.398390E-05   0.900005E+07   0.900005E+07   0.119996E+08   0.119996E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.660768E-02
   0.406438E-05   0.900005E+07   0.900005E+07   0.119996E+08   0.119996E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.674116E-02
   0.414648E-05   0.900005E+07   0.900005E+07   0.119996E+08   0.119996E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.687734E-02
   0.423025E-05   0.900005E+07   0.900005E+07   0.119996E+08   0.119996E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.701627E-02
   0.431570E-05   0.900005E+07   0.900005E+07   0.119996E+08   0.119996E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.715801E-02
   0.440289E-05   0.900005E+07   0.900005E+07   0.119996E+08   0.119996E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.730261E-02
   0.449183E-05   0.900005E+07   0.900005E+07   0.119995E+08   0.119995E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.745013E-02
   0.458257E-05   0.900005E+07   0.900005E+07   0.119995E+08   0.119995E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.760063E-02
   0.467515E-05   0.900005E+07   0.900005E+07   0.119995E+08   0.119995E+08   0.900049E+07   0.900006E+07   0.900005E+07   0.900626E+07  -0.588696E+00   0.849876E+07   0.849876E+07   0.775417E-02
