#           k/h    P           
    0.10000E-03    0.13062E+03
    0.10202E-03    0.13319E+03
    0.10408E-03    0.13580E+03
    0.10618E-03    0.13847E+03
    0.10833E-03    0.14118E+03
    0.11052E-03    0.14395E+03
    0.11275E-03    0.14678E+03
    0.11503E-03    0.14966E+03
    0.11735E-03    0.15259E+03
    0.11972E-03    0.15559E+03
    0.12214E-03    0.15864E+03
    0.12461E-03    0.16175E+03
    0.12712E-03    0.16492E+03
    0.12969E-03    0.16816E+03
    0.13231E-03    0.17146E+03
    0.13499E-03    0.17482E+03
    0.13771E-03    0.17825E+03
    0.14049E-03    0.18175E+03
    0.14333E-03    0.18531E+03
    0.14623E-03    0.18895E+03
    0.14918E-03    0.19265E+03
    0.15220E-03    0.19643E+03
    0.15527E-03    0.20028E+03
    0.15841E-03    0.20421E+03
    0.16161E-03    0.20821E+03
    0.16487E-03    0.21230E+03
    0.16820E-03    0.21646E+03
    0.17160E-03    0.22070E+03
    0.17507E-03    0.22503E+03
    0.17860E-03    0.22944E+03
    0.18221E-03    0.23394E+03
    0.18589E-03    0.23852E+03
    0.18965E-03    0.24320E+03
    0.19348E-03    0.24797E+03
    0.19739E-03    0.25283E+03
    0.20138E-03    0.25778E+03
    0.20544E-03    0.26283E+03
    0.20959E-03    0.26798E+03
    0.21383E-03    0.27323E+03
    0.21815E-03    0.27859E+03
    0.22255E-03    0.28405E+03
    0.22705E-03    0.28961E+03
    0.23164E-03    0.29528E+03
    0.23632E-03    0.30107E+03
    0.24109E-03    0.30696E+03
    0.24596E-03    0.31297E+03
    0.25093E-03    0.31910E+03
    0.25600E-03    0.32535E+03
    0.26117E-03    0.33172E+03
    0.26645E-03    0.33821E+03
    0.27183E-03    0.34483E+03
    0.27732E-03    0.35158E+03
    0.28292E-03    0.35846E+03
    0.28864E-03    0.36547E+03
    0.29447E-03    0.37262E+03
    0.30042E-03    0.37991E+03
    0.30649E-03    0.38734E+03
    0.31268E-03    0.39491E+03
    0.31899E-03    0.40263E+03
    0.32544E-03    0.41050E+03
    0.33201E-03    0.41852E+03
    0.33872E-03    0.42670E+03
    0.34556E-03    0.43504E+03
    0.35254E-03    0.44354E+03
    0.35966E-03    0.45220E+03
    0.36693E-03    0.46103E+03
    0.37434E-03    0.47003E+03
    0.38190E-03    0.47920E+03
    0.38962E-03    0.48855E+03
    0.39749E-03    0.49808E+03
    0.40552E-03    0.50780E+03
    0.41371E-03    0.51770E+03
    0.42207E-03    0.52779E+03
    0.43060E-03    0.53807E+03
    0.43929E-03    0.54856E+03
    0.44817E-03    0.55924E+03
    0.45722E-03    0.57013E+03
    0.46646E-03    0.58122E+03
    0.47588E-03    0.59253E+03
    0.48550E-03    0.60406E+03
    0.49530E-03    0.61580E+03
    0.50531E-03    0.62777E+03
    0.51552E-03    0.63997E+03
    0.52593E-03    0.65240E+03
    0.53656E-03    0.66506E+03
    0.54739E-03    0.67797E+03
    0.55845E-03    0.69112E+03
    0.56973E-03    0.70452E+03
    0.58124E-03    0.71817E+03
    0.59299E-03    0.73208E+03
    0.60496E-03    0.74626E+03
    0.61719E-03    0.76070E+03
    0.62965E-03    0.77541E+03
    0.64237E-03    0.79039E+03
    0.65535E-03    0.80566E+03
    0.66859E-03    0.82121E+03
