#           k/h    P           
    0.10000E-03    0.49271E+03
    0.10202E-03    0.50237E+03
    0.10408E-03    0.51223E+03
    0.10618E-03    0.52228E+03
    0.10833E-03    0.53253E+03
    0.11052E-03    0.54297E+03
    0.11275E-03    0.55363E+03
    0.11503E-03    0.56449E+03
    0.11735E-03    0.57556E+03
    0.11972E-03    0.58685E+03
    0.12214E-03    0.59837E+03
    0.12461E-03    0.61010E+03
    0.12712E-03    0.62207E+03
    0.12969E-03    0.63427E+03
    0.13231E-03    0.64671E+03
    0.13499E-03    0.65940E+03
    0.13771E-03    0.67233E+03
    0.14049E-03    0.68552E+03
    0.14333E-03    0.69896E+03
    0.14623E-03    0.71267E+03
    0.14918E-03    0.72664E+03
    0.15220E-03    0.74089E+03
    0.15527E-03    0.75542E+03
    0.15841E-03    0.77023E+03
    0.16161E-03    0.78534E+03
    0.16487E-03    0.80073E+03
    0.16820E-03    0.81643E+03
    0.17160E-03    0.83244E+03
    0.17507E-03    0.84875E+03
    0.17860E-03    0.86539E+03
    0.18221E-03    0.88235E+03
    0.18589E-03    0.89965E+03
    0.18965E-03    0.91728E+03
    0.19348E-03    0.93526E+03
    0.19739E-03    0.95358E+03
    0.20138E-03    0.97227E+03
    0.20544E-03    0.99132E+03
    0.20959E-03    0.10107E+04
    0.21383E-03    0.10305E+04
    0.21815E-03    0.10507E+04
    0.22255E-03    0.10713E+04
    0.22705E-03    0.10923E+04
    0.23164E-03    0.11137E+04
    0.23632E-03    0.11355E+04
    0.24109E-03    0.11577E+04
    0.24596E-03    0.11804E+04
    0.25093E-03    0.12035E+04
    0.25600E-03    0.12270E+04
    0.26117E-03    0.12511E+04
    0.26645E-03    0.12755E+04
    0.27183E-03    0.13005E+04
    0.27732E-03    0.13259E+04
    0.28292E-03    0.13519E+04
    0.28864E-03    0.13783E+04
    0.29447E-03    0.14053E+04
    0.30042E-03    0.14327E+04
    0.30649E-03    0.14607E+04
    0.31268E-03    0.14893E+04
    0.31899E-03    0.15184E+04
    0.32544E-03    0.15481E+04
    0.33201E-03    0.15783E+04
    0.33872E-03    0.16091E+04
    0.34556E-03    0.16406E+04
    0.35254E-03    0.16726E+04
    0.35966E-03    0.17052E+04
    0.36693E-03    0.17385E+04
    0.37434E-03    0.17724E+04
    0.38190E-03    0.18070E+04
    0.38962E-03    0.18423E+04
    0.39749E-03    0.18782E+04
    0.40552E-03    0.19148E+04
